Action	Reward
{'layer0_row21': [0, 21]}	tensor(-0.8845)
{'layer0_row221': [0, 221]}	tensor(-0.8884)
{'layer0_row119': [0, 119]}	tensor(-0.8916)
{'layer0_row4': [0, 4]}	tensor(-0.8947)
{'layer0_row61': [0, 61]}	tensor(-0.8977)
{'layer1_row93': [1, 93]}	tensor(-0.9005)
{'layer1_row92': [1, 92]}	tensor(-0.9006)
{'layer1_row51': [1, 51]}	tensor(-0.9027)
{'layer0_row249': [0, 249]}	tensor(-0.9039)
{'layer0_row55': [0, 55]}	tensor(-0.9073)
{'layer0_row224': [0, 224]}	tensor(-0.9101)
{'layer0_row13': [0, 13]}	tensor(-0.9127)
{'layer0_row39': [0, 39]}	tensor(-0.9157)
{'layer0_row10': [0, 10]}	tensor(-0.9195)
{'layer0_row94': [0, 94]}	tensor(-0.9226)
{'layer0_row210': [0, 210]}	tensor(-0.9258)
{'layer0_row12': [0, 12]}	tensor(-0.9283)
{'layer1_row88': [1, 88]}	tensor(-0.9312)
{'layer0_row108': [0, 108]}	tensor(-0.9318)
{'layer0_row158': [0, 158]}	tensor(-0.9371)
{'layer1_row76': [1, 76]}	tensor(-0.9398)
{'layer0_row89': [0, 89]}	tensor(-0.9415)
{'layer0_row236': [0, 236]}	tensor(-0.9444)
{'layer0_row3': [0, 3]}	tensor(-0.9482)
{'layer1_row24': [1, 24]}	tensor(-0.9514)
{'layer1_row78': [1, 78]}	tensor(-0.9518)
{'layer1_row9': [1, 9]}	tensor(-0.9534)
{'layer0_row176': [0, 176]}	tensor(-0.9539)
{'layer0_row251': [0, 251]}	tensor(-0.9586)
{'layer0_row164': [0, 164]}	tensor(-0.9610)
{'layer0_row279': [0, 279]}	tensor(-0.9648)
{'layer0_row246': [0, 246]}	tensor(-0.9678)
{'layer1_row74': [1, 74]}	tensor(-0.9713)
{'layer0_row228': [0, 228]}	tensor(-0.9727)
{'layer0_row219': [0, 219]}	tensor(-0.9768)
{'layer0_row273': [0, 273]}	tensor(-0.9804)
{'layer1_row25': [1, 25]}	tensor(-0.9833)
{'layer0_row190': [0, 190]}	tensor(-0.9852)
{'layer0_row14': [0, 14]}	tensor(-0.9879)
{'layer1_row58': [1, 58]}	tensor(-0.9924)
{'layer0_row122': [0, 122]}	tensor(-0.9917)
{'layer0_row50': [0, 50]}	tensor(-0.9968)
{'layer1_row40': [1, 40]}	tensor(-0.9991)
{'layer0_row257': [0, 257]}	tensor(-1.0016)
{'layer0_row292': [0, 292]}	tensor(-1.0048)
{'layer0_row192': [0, 192]}	tensor(-1.0076)
{'layer1_row5': [1, 5]}	tensor(-1.0133)
{'layer0_row38': [0, 38]}	tensor(-1.0141)
{'layer0_row233': [0, 233]}	tensor(-1.0188)
{'layer1_row96': [1, 96]}	tensor(-1.0217)
{'layer1_row38': [1, 38]}	tensor(-1.0220)
{'layer1_row47': [1, 47]}	tensor(-1.0242)
{'layer1_row64': [1, 64]}	tensor(-1.0256)
{'layer0_row43': [0, 43]}	tensor(-1.0267)
{'layer0_row217': [0, 217]}	tensor(-1.0299)
{'layer0_row99': [0, 99]}	tensor(-1.0340)
{'layer0_row53': [0, 53]}	tensor(-1.0374)
{'layer0_row271': [0, 271]}	tensor(-1.0410)
{'layer0_row169': [0, 169]}	tensor(-1.0472)
{'layer0_row77': [0, 77]}	tensor(-1.0496)
{'layer1_row42': [1, 42]}	tensor(-1.0540)
{'layer0_row9': [0, 9]}	tensor(-1.0548)
{'layer0_row68': [0, 68]}	tensor(-1.0594)
{'layer0_row198': [0, 198]}	tensor(-1.0632)
{'layer0_row2': [0, 2]}	tensor(-1.0686)
{'layer1_row67': [1, 67]}	tensor(-1.0705)
{'layer1_row72': [1, 72]}	tensor(-1.0729)
{'layer0_row259': [0, 259]}	tensor(-1.0744)
{'layer0_row253': [0, 253]}	tensor(-1.0790)
{'layer0_row244': [0, 244]}	tensor(-1.0833)
{'layer0_row200': [0, 200]}	tensor(-1.0884)
