Action	Reward
{'layer0_row249': [0, 249]}	tensor(-0.9094)
{'layer0_row94': [0, 94]}	tensor(-0.9122)
{'layer0_row158': [0, 158]}	tensor(-0.9152)
{'layer1_row53': [1, 53]}	tensor(-0.9187)
{'layer0_row164': [0, 164]}	tensor(-0.9194)
{'layer0_row246': [0, 246]}	tensor(-0.9227)
{'layer1_row33': [1, 33]}	tensor(-0.9262)
{'layer0_row228': [0, 228]}	tensor(-0.9270)
{'layer0_row125': [0, 125]}	tensor(-0.9304)
{'layer0_row227': [0, 227]}	tensor(-0.9338)
{'layer0_row190': [0, 190]}	tensor(-0.9377)
{'layer0_row122': [0, 122]}	tensor(-0.9399)
{'layer0_row240': [0, 240]}	tensor(-0.9423)
{'layer0_row257': [0, 257]}	tensor(-0.9459)
{'layer0_row292': [0, 292]}	tensor(-0.9495)
{'layer0_row192': [0, 192]}	tensor(-0.9531)
{'layer1_row5': [1, 5]}	tensor(-0.9556)
{'layer0_row126': [0, 126]}	tensor(-0.9571)
{'layer0_row38': [0, 38]}	tensor(-0.9605)
{'layer1_row38': [1, 38]}	tensor(-0.9631)
{'layer1_row47': [1, 47]}	tensor(-0.9649)
{'layer1_row64': [1, 64]}	tensor(-0.9660)
{'layer0_row43': [0, 43]}	tensor(-0.9681)
{'layer0_row217': [0, 217]}	tensor(-0.9705)
{'layer0_row99': [0, 99]}	tensor(-0.9739)
{'layer0_row53': [0, 53]}	tensor(-0.9782)
{'layer0_row271': [0, 271]}	tensor(-0.9818)
{'layer0_row169': [0, 169]}	tensor(-0.9836)
{'layer0_row251': [0, 251]}	tensor(-0.9872)
{'layer0_row77': [0, 77]}	tensor(-0.9926)
{'layer0_row9': [0, 9]}	tensor(-0.9951)
{'layer0_row68': [0, 68]}	tensor(-0.9993)
{'layer0_row198': [0, 198]}	tensor(-1.0027)
{'layer0_row2': [0, 2]}	tensor(-1.0063)
{'layer1_row67': [1, 67]}	tensor(-1.0098)
{'layer1_row72': [1, 72]}	tensor(-1.0117)
{'layer0_row259': [0, 259]}	tensor(-1.0117)
{'layer0_row66': [0, 66]}	tensor(-1.0158)
{'layer0_row253': [0, 253]}	tensor(-1.0193)
{'layer0_row244': [0, 244]}	tensor(-1.0240)
{'layer0_row15': [0, 15]}	tensor(-1.0274)
{'layer0_row201': [0, 201]}	tensor(-1.0311)
{'layer1_row26': [1, 26]}	tensor(-1.0341)
{'layer0_row209': [0, 209]}	tensor(-1.0360)
{'layer0_row268': [0, 268]}	tensor(-1.0398)
{'layer0_row55': [0, 55]}	tensor(-1.0436)
{'layer0_row34': [0, 34]}	tensor(-1.0490)
{'layer1_row54': [1, 54]}	tensor(-1.0520)
{'layer0_row280': [0, 280]}	tensor(-1.0524)
{'layer0_row59': [0, 59]}	tensor(-1.0579)
{'layer0_row243': [0, 243]}	tensor(-1.0610)
{'layer1_row86': [1, 86]}	tensor(-1.0652)
{'layer0_row172': [0, 172]}	tensor(-1.0667)
{'layer0_row106': [0, 106]}	tensor(-1.0706)
{'layer0_row289': [0, 289]}	tensor(-1.0755)
{'layer0_row230': [0, 230]}	tensor(-1.0788)
{'layer1_row80': [1, 80]}	tensor(-1.0835)
{'layer0_row29': [0, 29]}	tensor(-1.0838)
{'layer1_row31': [1, 31]}	tensor(-1.0897)
{'layer0_row97': [0, 97]}	tensor(-1.0898)
{'layer1_row22': [1, 22]}	tensor(-1.0945)
{'layer0_row143': [0, 143]}	tensor(-1.0958)
{'layer0_row260': [0, 260]}	tensor(-1.1001)
{'layer0_row175': [0, 175]}	tensor(-1.1037)
{'layer1_row51': [1, 51]}	tensor(-1.1079)
{'layer0_row45': [0, 45]}	tensor(-1.1105)
{'layer0_row144': [0, 144]}	tensor(-1.1150)
{'layer0_row213': [0, 213]}	tensor(-1.1185)
{'layer0_row75': [0, 75]}	tensor(-1.1244)
{'layer0_row48': [0, 48]}	tensor(-1.1283)
{'layer1_row74': [1, 74]}	tensor(-1.1333)
{'layer1_row35': [1, 35]}	tensor(-1.1340)
{'layer0_row88': [0, 88]}	tensor(-1.1365)
{'layer1_row85': [1, 85]}	tensor(-1.1403)
{'layer0_row26': [0, 26]}	tensor(-1.1416)
{'layer0_row72': [0, 72]}	tensor(-1.1463)
{'layer0_row180': [0, 180]}	tensor(-1.1512)
{'layer0_row31': [0, 31]}	tensor(-1.1551)
{'layer0_row130': [0, 130]}	tensor(-1.1606)
{'layer0_row127': [0, 127]}	tensor(-1.1647)
{'layer0_row123': [0, 123]}	tensor(-1.1704)
{'layer0_row248': [0, 248]}	tensor(-1.1755)
{'layer0_row10': [0, 10]}	tensor(-1.1798)
{'layer0_row65': [0, 65]}	tensor(-1.1848)
{'layer1_row45': [1, 45]}	tensor(-1.1893)
{'layer1_row49': [1, 49]}	tensor(-1.1912)
{'layer0_row284': [0, 284]}	tensor(-1.1913)
{'layer0_row64': [0, 64]}	tensor(-1.1986)
{'layer0_row162': [0, 162]}	tensor(-1.2030)
{'layer0_row277': [0, 277]}	tensor(-1.2082)
{'layer0_row85': [0, 85]}	tensor(-1.2139)
{'layer0_row154': [0, 154]}	tensor(-1.2187)
{'layer0_row120': [0, 120]}	tensor(-1.2239)
{'layer1_row30': [1, 30]}	tensor(-1.2294)
{'layer0_row225': [0, 225]}	tensor(-1.2311)
{'layer1_row99': [1, 99]}	tensor(-1.2371)
{'layer0_row220': [0, 220]}	tensor(-1.2377)
{'layer0_row74': [0, 74]}	tensor(-1.2436)
{'layer0_row203': [0, 203]}	tensor(-1.2493)
{'layer0_row37': [0, 37]}	tensor(-1.2554)
{'layer0_row211': [0, 211]}	tensor(-1.2587)
{'layer0_row231': [0, 231]}	tensor(-1.2660)
{'layer1_row36': [1, 36]}	tensor(-1.2717)
{'layer0_row167': [0, 167]}	tensor(-1.2736)
{'layer0_row165': [0, 165]}	tensor(-1.2783)
{'layer0_row93': [0, 93]}	tensor(-1.2851)
{'layer0_row89': [0, 89]}	tensor(-1.2901)
{'layer1_row56': [1, 56]}	tensor(-1.2977)
{'layer1_row18': [1, 18]}	tensor(-1.2983)
{'layer0_row170': [0, 170]}	tensor(-1.2995)
{'layer0_row62': [0, 62]}	tensor(-1.3055)
{'layer0_row100': [0, 100]}	tensor(-1.3113)
{'layer0_row159': [0, 159]}	tensor(-1.3175)
{'layer1_row73': [1, 73]}	tensor(-1.3240)
{'layer0_row293': [0, 293]}	tensor(-1.3252)
{'layer0_row226': [0, 226]}	tensor(-1.3321)
{'layer0_row188': [0, 188]}	tensor(-1.3387)
{'layer0_row4': [0, 4]}	tensor(-1.3446)
{'layer0_row7': [0, 7]}	tensor(-1.3507)
{'layer0_row241': [0, 241]}	tensor(-1.3575)
{'layer0_row139': [0, 139]}	tensor(-1.3635)
{'layer0_row221': [0, 221]}	tensor(-1.3706)
{'layer0_row294': [0, 294]}	tensor(-1.3768)
{'layer1_row55': [1, 55]}	tensor(-1.3846)
{'layer0_row218': [0, 218]}	tensor(-1.3865)
{'layer0_row283': [0, 283]}	tensor(-1.3928)
{'layer0_row133': [0, 133]}	tensor(-1.3994)
{'layer0_row96': [0, 96]}	tensor(-1.4070)
{'layer0_row11': [0, 11]}	tensor(-1.4134)
{'layer0_row264': [0, 264]}	tensor(-1.4210)
{'layer1_row20': [1, 20]}	tensor(-1.4276)
{'layer1_row69': [1, 69]}	tensor(-1.4304)
{'layer0_row69': [0, 69]}	tensor(-1.4309)
{'layer1_row13': [1, 13]}	tensor(-1.4383)
{'layer0_row6': [0, 6]}	tensor(-1.4404)
{'layer1_row97': [1, 97]}	tensor(-1.4476)
{'layer0_row281': [0, 281]}	tensor(-1.4485)
{'layer0_row109': [0, 109]}	tensor(-1.4582)
{'layer0_row149': [0, 149]}	tensor(-1.4647)
{'layer0_row178': [0, 178]}	tensor(-1.4729)
{'layer0_row113': [0, 113]}	tensor(-1.4799)
{'layer0_row19': [0, 19]}	tensor(-1.4879)
{'layer0_row265': [0, 265]}	tensor(-1.4949)
{'layer0_row166': [0, 166]}	tensor(-1.5007)
{'layer0_row16': [0, 16]}	tensor(-1.5115)
{'layer0_row250': [0, 250]}	tensor(-1.5194)
{'layer0_row118': [0, 118]}	tensor(-1.5288)
{'layer0_row247': [0, 247]}	tensor(-1.5372)
{'layer0_row278': [0, 278]}	tensor(-1.5428)
