Action	Reward
{'layer0_row190': [0, 190]}	tensor(-0.9069)
{'layer0_row122': [0, 122]}	tensor(-0.9033)
{'layer0_row228': [0, 228]}	tensor(-0.9003)
{'layer0_row158': [0, 158]}	tensor(-0.8979)
{'layer0_row246': [0, 246]}	tensor(-0.8939)
{'layer0_row257': [0, 257]}	tensor(-0.8915)
{'layer0_row292': [0, 292]}	tensor(-0.8874)
{'layer0_row192': [0, 192]}	tensor(-0.8857)
{'layer1_row5': [1, 5]}	tensor(-0.8819)
{'layer0_row94': [0, 94]}	tensor(-0.8809)
{'layer0_row38': [0, 38]}	tensor(-0.8777)
{'layer0_row164': [0, 164]}	tensor(-0.8758)
{'layer1_row47': [1, 47]}	tensor(-0.8716)
{'layer1_row64': [1, 64]}	tensor(-0.8710)
{'layer0_row43': [0, 43]}	tensor(-0.8702)
{'layer0_row249': [0, 249]}	tensor(-0.8672)
{'layer1_row38': [1, 38]}	tensor(-0.8646)
{'layer0_row169': [0, 169]}	tensor(-0.8630)
{'layer0_row53': [0, 53]}	tensor(-0.8595)
{'layer0_row77': [0, 77]}	tensor(-0.8572)
{'layer0_row251': [0, 251]}	tensor(-0.8537)
{'layer0_row271': [0, 271]}	tensor(-0.8506)
{'layer0_row198': [0, 198]}	tensor(-0.8476)
{'layer0_row2': [0, 2]}	tensor(-0.8447)
{'layer0_row68': [0, 68]}	tensor(-0.8425)
{'layer0_row9': [0, 9]}	tensor(-0.8392)
{'layer0_row99': [0, 99]}	tensor(-0.8356)
{'layer1_row72': [1, 72]}	tensor(-0.8342)
{'layer1_row67': [1, 67]}	tensor(-0.8324)
{'layer0_row259': [0, 259]}	tensor(-0.8306)
{'layer0_row253': [0, 253]}	tensor(-0.8283)
{'layer0_row217': [0, 217]}	tensor(-0.8255)
{'layer0_row244': [0, 244]}	tensor(-0.8223)
{'layer0_row34': [0, 34]}	tensor(-0.8194)
{'layer0_row55': [0, 55]}	tensor(-0.8161)
{'layer0_row280': [0, 280]}	tensor(-0.8133)
{'layer0_row243': [0, 243]}	tensor(-0.8101)
{'layer0_row209': [0, 209]}	tensor(-0.8072)
{'layer1_row54': [1, 54]}	tensor(-0.8036)
{'layer1_row86': [1, 86]}	tensor(-0.8030)
{'layer1_row80': [1, 80]}	tensor(-0.8032)
{'layer0_row289': [0, 289]}	tensor(-0.8012)
{'layer0_row230': [0, 230]}	tensor(-0.7988)
{'layer1_row31': [1, 31]}	tensor(-0.7957)
{'layer0_row240': [0, 240]}	tensor(-0.7945)
{'layer0_row29': [0, 29]}	tensor(-0.7919)
{'layer1_row22': [1, 22]}	tensor(-0.7883)
{'layer0_row59': [0, 59]}	tensor(-0.7876)
{'layer0_row175': [0, 175]}	tensor(-0.7843)
{'layer0_row97': [0, 97]}	tensor(-0.7814)
{'layer1_row51': [1, 51]}	tensor(-0.7788)
{'layer0_row143': [0, 143]}	tensor(-0.7783)
{'layer0_row66': [0, 66]}	tensor(-0.7741)
{'layer0_row45': [0, 45]}	tensor(-0.7715)
{'layer0_row227': [0, 227]}	tensor(-0.7686)
{'layer0_row144': [0, 144]}	tensor(-0.7660)
{'layer0_row213': [0, 213]}	tensor(-0.7625)
{'layer1_row74': [1, 74]}	tensor(-0.7598)
{'layer1_row35': [1, 35]}	tensor(-0.7592)
{'layer0_row88': [0, 88]}	tensor(-0.7583)
{'layer0_row75': [0, 75]}	tensor(-0.7548)
{'layer0_row26': [0, 26]}	tensor(-0.7523)
{'layer0_row180': [0, 180]}	tensor(-0.7494)
{'layer0_row72': [0, 72]}	tensor(-0.7467)
{'layer0_row31': [0, 31]}	tensor(-0.7432)
{'layer1_row85': [1, 85]}	tensor(-0.7409)
{'layer1_row26': [1, 26]}	tensor(-0.7394)
{'layer0_row130': [0, 130]}	tensor(-0.7386)
{'layer0_row127': [0, 127]}	tensor(-0.7357)
