Action	Reward
{'layer1_row64': [1, 64]}	tensor(-0.8215)
{'layer0_row164': [0, 164]}	tensor(-0.8218)
{'layer0_row228': [0, 228]}	tensor(-0.8189)
{'layer0_row190': [0, 190]}	tensor(-0.8159)
{'layer0_row292': [0, 292]}	tensor(-0.8115)
{'layer0_row192': [0, 192]}	tensor(-0.8099)
{'layer1_row5': [1, 5]}	tensor(-0.8068)
{'layer0_row94': [0, 94]}	tensor(-0.8068)
{'layer0_row122': [0, 122]}	tensor(-0.8041)
{'layer1_row38': [1, 38]}	tensor(-0.8004)
{'layer0_row158': [0, 158]}	tensor(-0.8005)
{'layer0_row257': [0, 257]}	tensor(-0.7973)
{'layer0_row217': [0, 217]}	tensor(-0.7950)
{'layer0_row53': [0, 53]}	tensor(-0.7913)
{'layer0_row43': [0, 43]}	tensor(-0.7886)
{'layer0_row169': [0, 169]}	tensor(-0.7866)
{'layer0_row251': [0, 251]}	tensor(-0.7841)
{'layer1_row47': [1, 47]}	tensor(-0.7805)
{'layer0_row198': [0, 198]}	tensor(-0.7798)
{'layer1_row67': [1, 67]}	tensor(-0.7776)
{'layer0_row246': [0, 246]}	tensor(-0.7759)
{'layer0_row99': [0, 99]}	tensor(-0.7735)
{'layer0_row9': [0, 9]}	tensor(-0.7719)
{'layer0_row77': [0, 77]}	tensor(-0.7678)
{'layer1_row72': [1, 72]}	tensor(-0.7653)
{'layer0_row271': [0, 271]}	tensor(-0.7640)
{'layer0_row249': [0, 249]}	tensor(-0.7624)
{'layer0_row259': [0, 259]}	tensor(-0.7590)
{'layer0_row253': [0, 253]}	tensor(-0.7561)
{'layer0_row209': [0, 209]}	tensor(-0.7540)
{'layer0_row55': [0, 55]}	tensor(-0.7511)
{'layer1_row54': [1, 54]}	tensor(-0.7476)
{'layer0_row2': [0, 2]}	tensor(-0.7463)
{'layer0_row68': [0, 68]}	tensor(-0.7453)
{'layer0_row34': [0, 34]}	tensor(-0.7415)
{'layer0_row59': [0, 59]}	tensor(-0.7402)
{'layer1_row86': [1, 86]}	tensor(-0.7368)
{'layer0_row243': [0, 243]}	tensor(-0.7355)
{'layer0_row289': [0, 289]}	tensor(-0.7331)
{'layer0_row230': [0, 230]}	tensor(-0.7305)
{'layer0_row240': [0, 240]}	tensor(-0.7281)
{'layer1_row31': [1, 31]}	tensor(-0.7243)
{'layer0_row29': [0, 29]}	tensor(-0.7236)
{'layer0_row175': [0, 175]}	tensor(-0.7213)
{'layer0_row97': [0, 97]}	tensor(-0.7190)
{'layer1_row22': [1, 22]}	tensor(-0.7153)
{'layer0_row143': [0, 143]}	tensor(-0.7155)
{'layer0_row66': [0, 66]}	tensor(-0.7123)
{'layer0_row45': [0, 45]}	tensor(-0.7100)
{'layer0_row144': [0, 144]}	tensor(-0.7073)
{'layer1_row51': [1, 51]}	tensor(-0.7036)
{'layer0_row213': [0, 213]}	tensor(-0.7030)
{'layer1_row35': [1, 35]}	tensor(-0.7010)
