Action	Reward
{'layer0_row186': [0, 186]}	tensor(-0.9096)
{'layer0_row221': [0, 221]}	tensor(-0.9129)
{'layer0_row119': [0, 119]}	tensor(-0.9163)
{'layer0_row3': [0, 3]}	tensor(-0.9198)
{'layer0_row246': [0, 246]}	tensor(-0.9224)
{'layer0_row152': [0, 152]}	tensor(-0.9249)
{'layer1_row71': [1, 71]}	tensor(-0.9279)
{'layer0_row197': [0, 197]}	tensor(-0.9294)
{'layer0_row147': [0, 147]}	tensor(-0.9325)
{'layer0_row138': [0, 138]}	tensor(-0.9360)
{'layer0_row73': [0, 73]}	tensor(-0.9390)
{'layer1_row16': [1, 16]}	tensor(-0.9429)
{'layer0_row96': [0, 96]}	tensor(-0.9433)
{'layer0_row116': [0, 116]}	tensor(-0.9471)
{'layer0_row165': [0, 165]}	tensor(-0.9505)
{'layer0_row184': [0, 184]}	tensor(-0.9537)
{'layer0_row66': [0, 66]}	tensor(-0.9565)
{'layer0_row22': [0, 22]}	tensor(-0.9604)
{'layer1_row34': [1, 34]}	tensor(-0.9630)
{'layer0_row156': [0, 156]}	tensor(-0.9648)
{'layer0_row249': [0, 249]}	tensor(-0.9677)
{'layer1_row45': [1, 45]}	tensor(-0.9710)
{'layer0_row255': [0, 255]}	tensor(-0.9723)
{'layer0_row289': [0, 289]}	tensor(-0.9753)
{'layer1_row1': [1, 1]}	tensor(-0.9796)
{'layer0_row196': [0, 196]}	tensor(-0.9805)
{'layer1_row3': [1, 3]}	tensor(-0.9832)
{'layer0_row265': [0, 265]}	tensor(-0.9857)
{'layer1_row49': [1, 49]}	tensor(-0.9889)
{'layer0_row198': [0, 198]}	tensor(-0.9891)
{'layer0_row178': [0, 178]}	tensor(-0.9934)
{'layer0_row181': [0, 181]}	tensor(-0.9968)
{'layer1_row2': [1, 2]}	tensor(-1.0008)
{'layer1_row15': [1, 15]}	tensor(-1.0022)
{'layer0_row16': [0, 16]}	tensor(-1.0024)
{'layer0_row97': [0, 97]}	tensor(-1.0060)
{'layer0_row259': [0, 259]}	tensor(-1.0103)
{'layer0_row47': [0, 47]}	tensor(-1.0143)
{'layer0_row36': [0, 36]}	tensor(-1.0176)
{'layer0_row277': [0, 277]}	tensor(-1.0215)
{'layer0_row185': [0, 185]}	tensor(-1.0260)
{'layer0_row267': [0, 267]}	tensor(-1.0286)
{'layer0_row86': [0, 86]}	tensor(-1.0335)
{'layer1_row7': [1, 7]}	tensor(-1.0381)
{'layer0_row71': [0, 71]}	tensor(-1.0373)
{'layer0_row58': [0, 58]}	tensor(-1.0430)
{'layer1_row0': [1, 0]}	tensor(-1.0462)
{'layer0_row297': [0, 297]}	tensor(-1.0482)
{'layer0_row56': [0, 56]}	tensor(-1.0510)
{'layer0_row192': [0, 192]}	tensor(-1.0550)
{'layer0_row243': [0, 243]}	tensor(-1.0588)
{'layer1_row60': [1, 60]}	tensor(-1.0628)
{'layer1_row47': [1, 47]}	tensor(-1.0641)
{'layer0_row177': [0, 177]}	tensor(-1.0655)
{'layer0_row121': [0, 121]}	tensor(-1.0699)
{'layer0_row273': [0, 273]}	tensor(-1.0735)
{'layer0_row94': [0, 94]}	tensor(-1.0774)
{'layer1_row67': [1, 67]}	tensor(-1.0814)
{'layer0_row158': [0, 158]}	tensor(-1.0833)
{'layer0_row164': [0, 164]}	tensor(-1.0886)
{'layer0_row228': [0, 228]}	tensor(-1.0919)
{'layer0_row281': [0, 281]}	tensor(-1.0948)
{'layer1_row41': [1, 41]}	tensor(-1.1014)
{'layer0_row190': [0, 190]}	tensor(-1.1021)
{'layer0_row122': [0, 122]}	tensor(-1.1058)
{'layer0_row23': [0, 23]}	tensor(-1.1109)
{'layer0_row140': [0, 140]}	tensor(-1.1156)
{'layer0_row257': [0, 257]}	tensor(-1.1188)
{'layer0_row292': [0, 292]}	tensor(-1.1242)
{'layer1_row5': [1, 5]}	tensor(-1.1296)
{'layer0_row212': [0, 212]}	tensor(-1.1303)
{'layer0_row19': [0, 19]}	tensor(-1.1349)
{'layer0_row202': [0, 202]}	tensor(-1.1396)
{'layer0_row150': [0, 150]}	tensor(-1.1431)
{'layer0_row38': [0, 38]}	tensor(-1.1486)
{'layer0_row4': [0, 4]}	tensor(-1.1538)
{'layer0_row123': [0, 123]}	tensor(-1.1581)
{'layer0_row79': [0, 79]}	tensor(-1.1632)
{'layer1_row38': [1, 38]}	tensor(-1.1690)
{'layer0_row61': [0, 61]}	tensor(-1.1692)
{'layer1_row64': [1, 64]}	tensor(-1.1749)
{'layer0_row48': [0, 48]}	tensor(-1.1743)
{'layer0_row160': [0, 160]}	tensor(-1.1796)
{'layer0_row41': [0, 41]}	tensor(-1.1849)
{'layer0_row7': [0, 7]}	tensor(-1.1909)
{'layer0_row43': [0, 43]}	tensor(-1.1970)
{'layer1_row37': [1, 37]}	tensor(-1.2006)
{'layer0_row217': [0, 217]}	tensor(-1.2029)
{'layer0_row99': [0, 99]}	tensor(-1.2080)
{'layer0_row20': [0, 20]}	tensor(-1.2129)
{'layer0_row235': [0, 235]}	tensor(-1.2172)
{'layer0_row53': [0, 53]}	tensor(-1.2232)
{'layer1_row44': [1, 44]}	tensor(-1.2288)
{'layer0_row275': [0, 275]}	tensor(-1.2296)
{'layer0_row271': [0, 271]}	tensor(-1.2343)
{'layer0_row256': [0, 256]}	tensor(-1.2412)
{'layer0_row130': [0, 130]}	tensor(-1.2458)
{'layer0_row286': [0, 286]}	tensor(-1.2523)
{'layer0_row169': [0, 169]}	tensor(-1.2577)
{'layer0_row145': [0, 145]}	tensor(-1.2633)
{'layer0_row141': [0, 141]}	tensor(-1.2684)
{'layer0_row251': [0, 251]}	tensor(-1.2756)
{'layer1_row70': [1, 70]}	tensor(-1.2809)
{'layer0_row77': [0, 77]}	tensor(-1.2832)
{'layer0_row9': [0, 9]}	tensor(-1.2885)
{'layer0_row68': [0, 68]}	tensor(-1.2938)
{'layer0_row247': [0, 247]}	tensor(-1.3011)
{'layer0_row2': [0, 2]}	tensor(-1.3060)
{'layer0_row176': [0, 176]}	tensor(-1.3116)
{'layer0_row74': [0, 74]}	tensor(-1.3184)
{'layer0_row274': [0, 274]}	tensor(-1.3243)
{'layer1_row72': [1, 72]}	tensor(-1.3314)
{'layer0_row253': [0, 253]}	tensor(-1.3324)
{'layer0_row236': [0, 236]}	tensor(-1.3390)
{'layer0_row244': [0, 244]}	tensor(-1.3457)
{'layer0_row209': [0, 209]}	tensor(-1.3508)
{'layer0_row55': [0, 55]}	tensor(-1.3573)
{'layer0_row34': [0, 34]}	tensor(-1.3660)
{'layer1_row54': [1, 54]}	tensor(-1.3720)
{'layer0_row280': [0, 280]}	tensor(-1.3727)
{'layer0_row64': [0, 64]}	tensor(-1.3790)
{'layer0_row109': [0, 109]}	tensor(-1.3872)
{'layer0_row59': [0, 59]}	tensor(-1.3934)
{'layer1_row86': [1, 86]}	tensor(-1.4010)
{'layer0_row230': [0, 230]}	tensor(-1.4022)
{'layer1_row80': [1, 80]}	tensor(-1.4089)
{'layer0_row29': [0, 29]}	tensor(-1.4102)
{'layer1_row31': [1, 31]}	tensor(-1.4177)
{'layer0_row240': [0, 240]}	tensor(-1.4182)
{'layer1_row22': [1, 22]}	tensor(-1.4260)
{'layer0_row143': [0, 143]}	tensor(-1.4281)
{'layer0_row175': [0, 175]}	tensor(-1.4348)
{'layer1_row51': [1, 51]}	tensor(-1.4443)
{'layer0_row45': [0, 45]}	tensor(-1.4447)
{'layer0_row227': [0, 227]}	tensor(-1.4528)
{'layer0_row144': [0, 144]}	tensor(-1.4597)
{'layer0_row213': [0, 213]}	tensor(-1.4679)
{'layer0_row75': [0, 75]}	tensor(-1.4759)
{'layer0_row101': [0, 101]}	tensor(-1.4834)
{'layer1_row74': [1, 74]}	tensor(-1.4904)
{'layer1_row57': [1, 57]}	tensor(-1.4924)
{'layer0_row42': [0, 42]}	tensor(-1.4942)
{'layer0_row234': [0, 234]}	tensor(-1.5034)
{'layer1_row35': [1, 35]}	tensor(-1.5098)
{'layer0_row88': [0, 88]}	tensor(-1.5111)
{'layer1_row85': [1, 85]}	tensor(-1.5189)
{'layer0_row89': [0, 89]}	tensor(-1.5213)
{'layer0_row133': [0, 133]}	tensor(-1.5303)
{'layer0_row193': [0, 193]}	tensor(-1.5372)
{'layer0_row26': [0, 26]}	tensor(-1.5465)
{'layer0_row72': [0, 72]}	tensor(-1.5542)
{'layer0_row180': [0, 180]}	tensor(-1.5629)
{'layer0_row31': [0, 31]}	tensor(-1.5714)
{'layer1_row26': [1, 26]}	tensor(-1.5807)
{'layer0_row127': [0, 127]}	tensor(-1.5835)
{'layer0_row248': [0, 248]}	tensor(-1.5922)
{'layer1_row33': [1, 33]}	tensor(-1.6003)
{'layer0_row10': [0, 10]}	tensor(-1.6024)
{'layer0_row65': [0, 65]}	tensor(-1.6111)
{'layer0_row284': [0, 284]}	tensor(-1.6218)
{'layer0_row162': [0, 162]}	tensor(-1.6290)
{'layer0_row85': [0, 85]}	tensor(-1.6401)
{'layer0_row154': [0, 154]}	tensor(-1.6495)
{'layer0_row120': [0, 120]}	tensor(-1.6593)
{'layer1_row30': [1, 30]}	tensor(-1.6687)
{'layer0_row225': [0, 225]}	tensor(-1.6715)
{'layer0_row220': [0, 220]}	tensor(-1.6812)
{'layer0_row106': [0, 106]}	tensor(-1.6913)
{'layer0_row203': [0, 203]}	tensor(-1.7006)
{'layer0_row37': [0, 37]}	tensor(-1.7090)
{'layer0_row211': [0, 211]}	tensor(-1.7213)
{'layer0_row268': [0, 268]}	tensor(-1.7330)
{'layer0_row231': [0, 231]}	tensor(-1.7416)
{'layer1_row36': [1, 36]}	tensor(-1.7535)
{'layer0_row167': [0, 167]}	tensor(-1.7561)
{'layer0_row93': [0, 93]}	tensor(-1.7661)
{'layer1_row56': [1, 56]}	tensor(-1.7767)
{'layer1_row18': [1, 18]}	tensor(-1.7795)
{'layer0_row170': [0, 170]}	tensor(-1.7819)
{'layer0_row100': [0, 100]}	tensor(-1.7923)
{'layer0_row159': [0, 159]}	tensor(-1.8046)
{'layer1_row73': [1, 73]}	tensor(-1.8150)
{'layer0_row293': [0, 293]}	tensor(-1.8171)
{'layer0_row226': [0, 226]}	tensor(-1.8297)
{'layer0_row188': [0, 188]}	tensor(-1.8412)
{'layer0_row241': [0, 241]}	tensor(-1.8525)
{'layer0_row139': [0, 139]}	tensor(-1.8643)
{'layer0_row294': [0, 294]}	tensor(-1.8770)
{'layer1_row55': [1, 55]}	tensor(-1.8909)
{'layer0_row218': [0, 218]}	tensor(-1.8926)
{'layer0_row283': [0, 283]}	tensor(-1.9041)
{'layer0_row11': [0, 11]}	tensor(-1.9163)
{'layer0_row264': [0, 264]}	tensor(-1.9303)
{'layer1_row20': [1, 20]}	tensor(-1.9423)
{'layer0_row69': [0, 69]}	tensor(-1.9456)
{'layer1_row13': [1, 13]}	tensor(-1.9605)
{'layer0_row6': [0, 6]}	tensor(-1.9616)
{'layer1_row97': [1, 97]}	tensor(-1.9732)
{'layer0_row57': [0, 57]}	tensor(-1.9764)
{'layer0_row149': [0, 149]}	tensor(-1.9894)
{'layer0_row233': [0, 233]}	tensor(-2.0042)
{'layer0_row223': [0, 223]}	tensor(-2.0191)
{'layer1_row69': [1, 69]}	tensor(-2.0315)
{'layer0_row113': [0, 113]}	tensor(-2.0341)
{'layer0_row250': [0, 250]}	tensor(-2.0481)
{'layer0_row118': [0, 118]}	tensor(-2.0668)
{'layer0_row278': [0, 278]}	tensor(-2.0807)
{'layer0_row117': [0, 117]}	tensor(-2.0963)
{'layer1_row25': [1, 25]}	tensor(-2.1105)
{'layer0_row157': [0, 157]}	tensor(-2.1110)
{'layer1_row93': [1, 93]}	tensor(-2.1285)
{'layer1_row52': [1, 52]}	tensor(-2.1305)
{'layer1_row39': [1, 39]}	tensor(-2.1337)
{'layer0_row78': [0, 78]}	tensor(-2.1366)
{'layer0_row103': [0, 103]}	tensor(-2.1520)
{'layer0_row50': [0, 50]}	tensor(-2.1699)
{'layer0_row107': [0, 107]}	tensor(-2.1847)
{'layer0_row191': [0, 191]}	tensor(-2.2003)
{'layer0_row25': [0, 25]}	tensor(-2.2184)
{'layer0_row111': [0, 111]}	tensor(-2.2361)
{'layer0_row91': [0, 91]}	tensor(-2.2516)
{'layer1_row11': [1, 11]}	tensor(-2.2711)
{'layer1_row76': [1, 76]}	tensor(-2.2756)
