Action	Reward
{'layer0_row21': [0, 21]}	tensor(-0.9046)
{'layer0_row221': [0, 221]}	tensor(-0.9082)
{'layer0_row135': [0, 135]}	tensor(-0.9108)
{'layer1_row67': [1, 67]}	tensor(-0.9141)
{'layer0_row14': [0, 14]}	tensor(-0.9146)
{'layer0_row174': [0, 174]}	tensor(-0.9182)
{'layer1_row76': [1, 76]}	tensor(-0.9207)
{'layer0_row131': [0, 131]}	tensor(-0.9221)
{'layer1_row57': [1, 57]}	tensor(-0.9256)
{'layer0_row55': [0, 55]}	tensor(-0.9268)
{'layer0_row194': [0, 194]}	tensor(-0.9300)
{'layer0_row77': [0, 77]}	tensor(-0.9325)
{'layer1_row58': [1, 58]}	tensor(-0.9354)
{'layer0_row141': [0, 141]}	tensor(-0.9371)
{'layer0_row142': [0, 142]}	tensor(-0.9401)
{'layer0_row109': [0, 109]}	tensor(-0.9435)
{'layer0_row222': [0, 222]}	tensor(-0.9479)
{'layer0_row170': [0, 170]}	tensor(-0.9498)
{'layer0_row124': [0, 124]}	tensor(-0.9529)
{'layer0_row249': [0, 249]}	tensor(-0.9569)
{'layer0_row81': [0, 81]}	tensor(-0.9596)
{'layer0_row183': [0, 183]}	tensor(-0.9643)
{'layer1_row56': [1, 56]}	tensor(-0.9669)
{'layer0_row103': [0, 103]}	tensor(-0.9682)
{'layer0_row94': [0, 94]}	tensor(-0.9710)
{'layer0_row290': [0, 290]}	tensor(-0.9745)
{'layer0_row108': [0, 108]}	tensor(-0.9785)
{'layer0_row68': [0, 68]}	tensor(-0.9825)
{'layer0_row0': [0, 0]}	tensor(-0.9846)
{'layer1_row27': [1, 27]}	tensor(-0.9883)
{'layer1_row17': [1, 17]}	tensor(-0.9904)
{'layer0_row236': [0, 236]}	tensor(-0.9902)
{'layer0_row216': [0, 216]}	tensor(-0.9948)
{'layer0_row231': [0, 231]}	tensor(-0.9988)
{'layer1_row83': [1, 83]}	tensor(-1.0017)
{'layer0_row261': [0, 261]}	tensor(-1.0037)
{'layer1_row40': [1, 40]}	tensor(-1.0068)
{'layer0_row285': [0, 285]}	tensor(-1.0087)
{'layer1_row66': [1, 66]}	tensor(-1.0113)
{'layer0_row171': [0, 171]}	tensor(-1.0129)
{'layer1_row71': [1, 71]}	tensor(-1.0165)
{'layer1_row10': [1, 10]}	tensor(-1.0187)
{'layer0_row37': [0, 37]}	tensor(-1.0193)
{'layer0_row276': [0, 276]}	tensor(-1.0228)
{'layer0_row298': [0, 298]}	tensor(-1.0259)
{'layer0_row207': [0, 207]}	tensor(-1.0309)
{'layer0_row51': [0, 51]}	tensor(-1.0351)
{'layer0_row106': [0, 106]}	tensor(-1.0389)
{'layer0_row292': [0, 292]}	tensor(-1.0419)
{'layer0_row158': [0, 158]}	tensor(-1.0464)
{'layer0_row255': [0, 255]}	tensor(-1.0499)
{'layer0_row87': [0, 87]}	tensor(-1.0540)
{'layer0_row30': [0, 30]}	tensor(-1.0587)
{'layer1_row28': [1, 28]}	tensor(-1.0626)
{'layer0_row67': [0, 67]}	tensor(-1.0642)
{'layer0_row36': [0, 36]}	tensor(-1.0671)
{'layer0_row164': [0, 164]}	tensor(-1.0722)
{'layer0_row246': [0, 246]}	tensor(-1.0766)
{'layer0_row125': [0, 125]}	tensor(-1.0808)
{'layer0_row230': [0, 230]}	tensor(-1.0851)
{'layer1_row61': [1, 61]}	tensor(-1.0889)
{'layer0_row280': [0, 280]}	tensor(-1.0900)
{'layer0_row291': [0, 291]}	tensor(-1.0950)
{'layer1_row84': [1, 84]}	tensor(-1.0994)
{'layer0_row119': [0, 119]}	tensor(-1.1003)
{'layer1_row42': [1, 42]}	tensor(-1.1054)
{'layer0_row198': [0, 198]}	tensor(-1.1065)
{'layer0_row228': [0, 228]}	tensor(-1.1089)
{'layer0_row190': [0, 190]}	tensor(-1.1148)
{'layer0_row122': [0, 122]}	tensor(-1.1196)
{'layer0_row102': [0, 102]}	tensor(-1.1242)
{'layer1_row49': [1, 49]}	tensor(-1.1272)
