Action	Reward
{'layer0_row249': [0, 249]}	tensor(-0.8990)
{'layer0_row94': [0, 94]}	tensor(-0.8957)
{'layer0_row158': [0, 158]}	tensor(-0.8930)
{'layer1_row53': [1, 53]}	tensor(-0.8893)
{'layer0_row164': [0, 164]}	tensor(-0.8878)
{'layer0_row246': [0, 246]}	tensor(-0.8855)
{'layer1_row33': [1, 33]}	tensor(-0.8819)
{'layer0_row228': [0, 228]}	tensor(-0.8824)
{'layer0_row125': [0, 125]}	tensor(-0.8781)
{'layer0_row190': [0, 190]}	tensor(-0.8756)
{'layer0_row122': [0, 122]}	tensor(-0.8726)
{'layer0_row257': [0, 257]}	tensor(-0.8697)
{'layer0_row97': [0, 97]}	tensor(-0.8668)
{'layer0_row292': [0, 292]}	tensor(-0.8640)
{'layer0_row192': [0, 192]}	tensor(-0.8602)
{'layer1_row5': [1, 5]}	tensor(-0.8582)
{'layer0_row38': [0, 38]}	tensor(-0.8573)
{'layer0_row126': [0, 126]}	tensor(-0.8538)
{'layer1_row38': [1, 38]}	tensor(-0.8506)
{'layer1_row47': [1, 47]}	tensor(-0.8501)
{'layer1_row64': [1, 64]}	tensor(-0.8483)
{'layer0_row43': [0, 43]}	tensor(-0.8474)
{'layer0_row217': [0, 217]}	tensor(-0.8442)
{'layer0_row99': [0, 99]}	tensor(-0.8422)
{'layer0_row53': [0, 53]}	tensor(-0.8388)
{'layer0_row271': [0, 271]}	tensor(-0.8361)
{'layer0_row169': [0, 169]}	tensor(-0.8333)
{'layer0_row251': [0, 251]}	tensor(-0.8295)
{'layer0_row77': [0, 77]}	tensor(-0.8276)
{'layer0_row9': [0, 9]}	tensor(-0.8237)
{'layer0_row68': [0, 68]}	tensor(-0.8212)
{'layer0_row198': [0, 198]}	tensor(-0.8182)
{'layer0_row2': [0, 2]}	tensor(-0.8152)
{'layer1_row67': [1, 67]}	tensor(-0.8124)
{'layer1_row72': [1, 72]}	tensor(-0.8114)
{'layer0_row259': [0, 259]}	tensor(-0.8103)
{'layer0_row253': [0, 253]}	tensor(-0.8077)
{'layer1_row51': [1, 51]}	tensor(-0.8044)
{'layer0_row42': [0, 42]}	tensor(-0.8039)
{'layer0_row244': [0, 244]}	tensor(-0.7999)
{'layer1_row23': [1, 23]}	tensor(-0.7983)
{'layer1_row57': [1, 57]}	tensor(-0.7972)
{'layer0_row209': [0, 209]}	tensor(-0.7954)
{'layer0_row55': [0, 55]}	tensor(-0.7928)
{'layer0_row34': [0, 34]}	tensor(-0.7898)
{'layer1_row54': [1, 54]}	tensor(-0.7872)
{'layer0_row280': [0, 280]}	tensor(-0.7861)
{'layer0_row59': [0, 59]}	tensor(-0.7832)
{'layer0_row243': [0, 243]}	tensor(-0.7799)
{'layer1_row86': [1, 86]}	tensor(-0.7774)
{'layer0_row299': [0, 299]}	tensor(-0.7758)
{'layer0_row289': [0, 289]}	tensor(-0.7727)
{'layer0_row230': [0, 230]}	tensor(-0.7702)
{'layer1_row80': [1, 80]}	tensor(-0.7671)
{'layer0_row29': [0, 29]}	tensor(-0.7667)
{'layer1_row31': [1, 31]}	tensor(-0.7632)
{'layer0_row240': [0, 240]}	tensor(-0.7627)
{'layer1_row22': [1, 22]}	tensor(-0.7585)
{'layer0_row143': [0, 143]}	tensor(-0.7584)
{'layer0_row175': [0, 175]}	tensor(-0.7556)
{'layer0_row66': [0, 66]}	tensor(-0.7521)
{'layer0_row45': [0, 45]}	tensor(-0.7505)
{'layer0_row227': [0, 227]}	tensor(-0.7470)
{'layer1_row24': [1, 24]}	tensor(-0.7432)
{'layer0_row144': [0, 144]}	tensor(-0.7435)
{'layer0_row213': [0, 213]}	tensor(-0.7397)
{'layer0_row75': [0, 75]}	tensor(-0.7367)
{'layer1_row35': [1, 35]}	tensor(-0.7346)
{'layer1_row74': [1, 74]}	tensor(-0.7342)
{'layer0_row88': [0, 88]}	tensor(-0.7329)
{'layer1_row85': [1, 85]}	tensor(-0.7295)
{'layer1_row89': [1, 89]}	tensor(-0.7283)
{'layer0_row26': [0, 26]}	tensor(-0.7281)
{'layer0_row72': [0, 72]}	tensor(-0.7239)
{'layer0_row180': [0, 180]}	tensor(-0.7216)
{'layer0_row172': [0, 172]}	tensor(-0.7192)
{'layer0_row31': [0, 31]}	tensor(-0.7161)
{'layer1_row26': [1, 26]}	tensor(-0.7135)
{'layer0_row130': [0, 130]}	tensor(-0.7121)
{'layer0_row127': [0, 127]}	tensor(-0.7099)
{'layer0_row123': [0, 123]}	tensor(-0.7072)
{'layer0_row248': [0, 248]}	tensor(-0.7040)
{'layer0_row105': [0, 105]}	tensor(-0.7007)
{'layer0_row10': [0, 10]}	tensor(-0.6976)
{'layer0_row65': [0, 65]}	tensor(-0.6957)
{'layer1_row45': [1, 45]}	tensor(-0.6929)
{'layer0_row238': [0, 238]}	tensor(-0.6909)
{'layer1_row49': [1, 49]}	tensor(-0.6879)
{'layer0_row284': [0, 284]}	tensor(-0.6877)
{'layer0_row64': [0, 64]}	tensor(-0.6845)
{'layer0_row162': [0, 162]}	tensor(-0.6821)
{'layer0_row85': [0, 85]}	tensor(-0.6787)
{'layer0_row20': [0, 20]}	tensor(-0.6763)
{'layer0_row161': [0, 161]}	tensor(-0.6732)
{'layer0_row154': [0, 154]}	tensor(-0.6704)
{'layer0_row120': [0, 120]}	tensor(-0.6677)
{'layer1_row30': [1, 30]}	tensor(-0.6641)
{'layer0_row225': [0, 225]}	tensor(-0.6632)
{'layer0_row220': [0, 220]}	tensor(-0.6608)
{'layer0_row74': [0, 74]}	tensor(-0.6583)
{'layer0_row106': [0, 106]}	tensor(-0.6550)
{'layer0_row203': [0, 203]}	tensor(-0.6517)
{'layer0_row229': [0, 229]}	tensor(-0.6493)
{'layer0_row37': [0, 37]}	tensor(-0.6461)
{'layer0_row211': [0, 211]}	tensor(-0.6434)
{'layer0_row235': [0, 235]}	tensor(-0.6399)
{'layer0_row268': [0, 268]}	tensor(-0.6371)
{'layer0_row231': [0, 231]}	tensor(-0.6341)
{'layer1_row36': [1, 36]}	tensor(-0.6317)
{'layer0_row167': [0, 167]}	tensor(-0.6310)
{'layer0_row165': [0, 165]}	tensor(-0.6277)
{'layer0_row93': [0, 93]}	tensor(-0.6253)
{'layer0_row89': [0, 89]}	tensor(-0.6221)
{'layer1_row56': [1, 56]}	tensor(-0.6188)
{'layer1_row18': [1, 18]}	tensor(-0.6185)
{'layer0_row170': [0, 170]}	tensor(-0.6173)
{'layer0_row100': [0, 100]}	tensor(-0.6150)
{'layer0_row159': [0, 159]}	tensor(-0.6118)
{'layer1_row73': [1, 73]}	tensor(-0.6094)
{'layer0_row293': [0, 293]}	tensor(-0.6080)
{'layer0_row226': [0, 226]}	tensor(-0.6055)
{'layer0_row188': [0, 188]}	tensor(-0.6017)
{'layer0_row7': [0, 7]}	tensor(-0.5994)
{'layer0_row241': [0, 241]}	tensor(-0.5969)
{'layer0_row139': [0, 139]}	tensor(-0.5937)
{'layer0_row221': [0, 221]}	tensor(-0.5914)
{'layer0_row119': [0, 119]}	tensor(-0.5882)
{'layer0_row294': [0, 294]}	tensor(-0.5855)
{'layer1_row55': [1, 55]}	tensor(-0.5822)
{'layer0_row218': [0, 218]}	tensor(-0.5818)
{'layer0_row283': [0, 283]}	tensor(-0.5793)
{'layer0_row133': [0, 133]}	tensor(-0.5758)
{'layer0_row96': [0, 96]}	tensor(-0.5733)
{'layer0_row11': [0, 11]}	tensor(-0.5703)
{'layer0_row264': [0, 264]}	tensor(-0.5677)
{'layer1_row20': [1, 20]}	tensor(-0.5649)
{'layer0_row69': [0, 69]}	tensor(-0.5631)
{'layer1_row13': [1, 13]}	tensor(-0.5604)
{'layer0_row6': [0, 6]}	tensor(-0.5601)
{'layer0_row270': [0, 270]}	tensor(-0.5569)
{'layer1_row97': [1, 97]}	tensor(-0.5544)
{'layer0_row8': [0, 8]}	tensor(-0.5539)
{'layer0_row276': [0, 276]}	tensor(-0.5509)
{'layer0_row281': [0, 281]}	tensor(-0.5482)
{'layer0_row109': [0, 109]}	tensor(-0.5446)
{'layer0_row149': [0, 149]}	tensor(-0.5421)
{'layer1_row46': [1, 46]}	tensor(-0.5400)
{'layer0_row178': [0, 178]}	tensor(-0.5387)
{'layer0_row113': [0, 113]}	tensor(-0.5355)
{'layer0_row19': [0, 19]}	tensor(-0.5329)
{'layer0_row250': [0, 250]}	tensor(-0.5298)
{'layer0_row118': [0, 118]}	tensor(-0.5274)
{'layer1_row69': [1, 69]}	tensor(-0.5244)
{'layer0_row247': [0, 247]}	tensor(-0.5232)
{'layer0_row278': [0, 278]}	tensor(-0.5212)
{'layer0_row157': [0, 157]}	tensor(-0.5184)
{'layer1_row34': [1, 34]}	tensor(-0.5147)
{'layer1_row93': [1, 93]}	tensor(-0.5146)
{'layer0_row152': [0, 152]}	tensor(-0.5142)
{'layer1_row52': [1, 52]}	tensor(-0.5108)
{'layer0_row184': [0, 184]}	tensor(-0.5106)
{'layer1_row70': [1, 70]}	tensor(-0.5076)
{'layer1_row39': [1, 39]}	tensor(-0.5068)
{'layer1_row43': [1, 43]}	tensor(-0.5065)
{'layer0_row103': [0, 103]}	tensor(-0.5054)
{'layer0_row191': [0, 191]}	tensor(-0.5026)
{'layer0_row25': [0, 25]}	tensor(-0.5002)
{'layer1_row76': [1, 76]}	tensor(-0.4974)
{'layer1_row29': [1, 29]}	tensor(-0.4962)
{'layer0_row201': [0, 201]}	tensor(-0.4956)
{'layer0_row90': [0, 90]}	tensor(-0.4925)
{'layer1_row62': [1, 62]}	tensor(-0.4900)
{'layer1_row92': [1, 92]}	tensor(-0.4893)
{'layer0_row151': [0, 151]}	tensor(-0.4886)
{'layer1_row42': [1, 42]}	tensor(-0.4858)
{'layer0_row277': [0, 277]}	tensor(-0.4855)
{'layer0_row48': [0, 48]}	tensor(-0.4828)
{'layer0_row104': [0, 104]}	tensor(-0.4796)
{'layer0_row156': [0, 156]}	tensor(-0.4771)
{'layer0_row62': [0, 62]}	tensor(-0.4738)
{'layer0_row207': [0, 207]}	tensor(-0.4714)
{'layer0_row147': [0, 147]}	tensor(-0.4684)
{'layer0_row146': [0, 146]}	tensor(-0.4659)
{'layer1_row0': [1, 0]}	tensor(-0.4625)
{'layer1_row77': [1, 77]}	tensor(-0.4623)
{'layer0_row200': [0, 200]}	tensor(-0.4616)
{'layer1_row15': [1, 15]}	tensor(-0.4587)
{'layer0_row298': [0, 298]}	tensor(-0.4584)
{'layer0_row60': [0, 60]}	tensor(-0.4555)
{'layer0_row131': [0, 131]}	tensor(-0.4526)
{'layer0_row173': [0, 173]}	tensor(-0.4500)
{'layer0_row84': [0, 84]}	tensor(-0.4470)
{'layer0_row177': [0, 177]}	tensor(-0.4442)
{'layer1_row82': [1, 82]}	tensor(-0.4413)
{'layer0_row297': [0, 297]}	tensor(-0.4410)
{'layer0_row18': [0, 18]}	tensor(-0.4380)
{'layer1_row78': [1, 78]}	tensor(-0.4349)
{'layer0_row179': [0, 179]}	tensor(-0.4341)
{'layer0_row266': [0, 266]}	tensor(-0.4320)
{'layer0_row141': [0, 141]}	tensor(-0.4291)
{'layer0_row262': [0, 262]}	tensor(-0.4262)
{'layer0_row267': [0, 267]}	tensor(-0.4234)
{'layer0_row86': [0, 86]}	tensor(-0.4207)
{'layer1_row4': [1, 4]}	tensor(-0.4174)
{'layer0_row134': [0, 134]}	tensor(-0.4170)
{'layer0_row263': [0, 263]}	tensor(-0.4147)
{'layer1_row44': [1, 44]}	tensor(-0.4116)
{'layer0_row30': [0, 30]}	tensor(-0.4114)
{'layer0_row287': [0, 287]}	tensor(-0.4082)
{'layer0_row115': [0, 115]}	tensor(-0.4057)
{'layer0_row132': [0, 132]}	tensor(-0.4029)
{'layer1_row41': [1, 41]}	tensor(-0.3998)
{'layer0_row242': [0, 242]}	tensor(-0.3994)
{'layer1_row7': [1, 7]}	tensor(-0.3964)
{'layer0_row171': [0, 171]}	tensor(-0.3959)
{'layer0_row102': [0, 102]}	tensor(-0.3933)
{'layer1_row58': [1, 58]}	tensor(-0.3901)
{'layer0_row182': [0, 182]}	tensor(-0.3898)
{'layer1_row28': [1, 28]}	tensor(-0.3870)
{'layer1_row50': [1, 50]}	tensor(-0.3862)
{'layer0_row269': [0, 269]}	tensor(-0.3858)
{'layer0_row54': [0, 54]}	tensor(-0.3833)
{'layer0_row296': [0, 296]}	tensor(-0.3802)
{'layer0_row245': [0, 245]}	tensor(-0.3778)
{'layer0_row237': [0, 237]}	tensor(-0.3751)
{'layer0_row67': [0, 67]}	tensor(-0.3718)
{'layer1_row95': [1, 95]}	tensor(-0.3693)
{'layer0_row121': [0, 121]}	tensor(-0.3688)
{'layer0_row168': [0, 168]}	tensor(-0.3660)
{'layer0_row210': [0, 210]}	tensor(-0.3627)
{'layer0_row272': [0, 272]}	tensor(-0.3606)
{'layer0_row196': [0, 196]}	tensor(-0.3578)
{'layer1_row90': [1, 90]}	tensor(-0.3547)
{'layer0_row265': [0, 265]}	tensor(-0.3544)
{'layer1_row17': [1, 17]}	tensor(-0.3515)
{'layer0_row17': [0, 17]}	tensor(-0.3514)
{'layer0_row208': [0, 208]}	tensor(-0.3489)
{'layer0_row124': [0, 124]}	tensor(-0.3456)
{'layer0_row187': [0, 187]}	tensor(-0.3426)
{'layer0_row21': [0, 21]}	tensor(-0.3402)
{'layer0_row145': [0, 145]}	tensor(-0.3374)
{'layer0_row223': [0, 223]}	tensor(-0.3346)
{'layer0_row14': [0, 14]}	tensor(-0.3319)
{'layer0_row61': [0, 61]}	tensor(-0.3294)
{'layer0_row288': [0, 288]}	tensor(-0.3264)
{'layer0_row206': [0, 206]}	tensor(-0.3236)
{'layer0_row212': [0, 212]}	tensor(-0.3209)
{'layer0_row224': [0, 224]}	tensor(-0.3181)
{'layer0_row92': [0, 92]}	tensor(-0.3154)
{'layer1_row6': [1, 6]}	tensor(-0.3123)
{'layer0_row4': [0, 4]}	tensor(-0.3121)
{'layer1_row14': [1, 14]}	tensor(-0.3093)
{'layer0_row82': [0, 82]}	tensor(-0.3089)
{'layer0_row129': [0, 129]}	tensor(-0.3060)
{'layer0_row153': [0, 153]}	tensor(-0.3034)
{'layer0_row0': [0, 0]}	tensor(-0.3004)
{'layer0_row291': [0, 291]}	tensor(-0.2975)
{'layer1_row12': [1, 12]}	tensor(-0.2948)
{'layer0_row199': [0, 199]}	tensor(-0.2943)
{'layer1_row10': [1, 10]}	tensor(-0.2919)
{'layer0_row232': [0, 232]}	tensor(-0.2913)
{'layer0_row41': [0, 41]}	tensor(-0.2885)
{'layer0_row95': [0, 95]}	tensor(-0.2858)
{'layer0_row111': [0, 111]}	tensor(-0.2830)
{'layer0_row39': [0, 39]}	tensor(-0.2801)
{'layer0_row50': [0, 50]}	tensor(-0.2774)
{'layer0_row155': [0, 155]}	tensor(-0.2749)
{'layer0_row254': [0, 254]}	tensor(-0.2718)
{'layer0_row163': [0, 163]}	tensor(-0.2694)
{'layer0_row215': [0, 215]}	tensor(-0.2665)
{'layer0_row76': [0, 76]}	tensor(-0.2638)
{'layer0_row142': [0, 142]}	tensor(-0.2612)
{'layer1_row8': [1, 8]}	tensor(-0.2581)
{'layer0_row160': [0, 160]}	tensor(-0.2579)
{'layer0_row40': [0, 40]}	tensor(-0.2551)
{'layer0_row261': [0, 261]}	tensor(-0.2524)
{'layer0_row27': [0, 27]}	tensor(-0.2496)
{'layer0_row233': [0, 233]}	tensor(-0.2468)
{'layer0_row91': [0, 91]}	tensor(-0.2438)
{'layer0_row256': [0, 256]}	tensor(-0.2415)
{'layer0_row286': [0, 286]}	tensor(-0.2385)
{'layer0_row1': [0, 1]}	tensor(-0.2359)
{'layer0_row114': [0, 114]}	tensor(-0.2331)
{'layer1_row25': [1, 25]}	tensor(-0.2302)
{'layer0_row81': [0, 81]}	tensor(-0.2297)
{'layer0_row80': [0, 80]}	tensor(-0.2272)
{'layer0_row222': [0, 222]}	tensor(-0.2246)
{'layer1_row40': [1, 40]}	tensor(-0.2217)
{'layer1_row98': [1, 98]}	tensor(-0.2215)
{'layer1_row60': [1, 60]}	tensor(-0.2210)
{'layer1_row19': [1, 19]}	tensor(-0.2209)
{'layer0_row136': [0, 136]}	tensor(-0.2206)
{'layer0_row58': [0, 58]}	tensor(-0.2178)
{'layer0_row5': [0, 5]}	tensor(-0.2150)
{'layer0_row128': [0, 128]}	tensor(-0.2122)
{'layer0_row239': [0, 239]}	tensor(-0.2095)
