Action	Reward
{'layer0_row190': [0, 190]}	tensor(-0.8996)
{'layer0_row122': [0, 122]}	tensor(-0.8953)
{'layer0_row228': [0, 228]}	tensor(-0.8924)
{'layer0_row158': [0, 158]}	tensor(-0.8903)
{'layer0_row246': [0, 246]}	tensor(-0.8869)
{'layer0_row257': [0, 257]}	tensor(-0.8841)
{'layer0_row292': [0, 292]}	tensor(-0.8806)
{'layer0_row192': [0, 192]}	tensor(-0.8778)
{'layer1_row5': [1, 5]}	tensor(-0.8752)
{'layer0_row94': [0, 94]}	tensor(-0.8744)
{'layer0_row38': [0, 38]}	tensor(-0.8713)
{'layer0_row164': [0, 164]}	tensor(-0.8681)
{'layer1_row47': [1, 47]}	tensor(-0.8646)
{'layer1_row64': [1, 64]}	tensor(-0.8639)
{'layer0_row43': [0, 43]}	tensor(-0.8629)
{'layer0_row249': [0, 249]}	tensor(-0.8593)
{'layer1_row38': [1, 38]}	tensor(-0.8575)
{'layer0_row169': [0, 169]}	tensor(-0.8555)
{'layer0_row53': [0, 53]}	tensor(-0.8530)
{'layer0_row77': [0, 77]}	tensor(-0.8503)
{'layer0_row251': [0, 251]}	tensor(-0.8471)
{'layer0_row271': [0, 271]}	tensor(-0.8438)
{'layer0_row198': [0, 198]}	tensor(-0.8414)
{'layer0_row2': [0, 2]}	tensor(-0.8384)
{'layer0_row68': [0, 68]}	tensor(-0.8354)
{'layer0_row9': [0, 9]}	tensor(-0.8327)
{'layer0_row99': [0, 99]}	tensor(-0.8297)
{'layer1_row72': [1, 72]}	tensor(-0.8262)
{'layer1_row67': [1, 67]}	tensor(-0.8254)
{'layer0_row259': [0, 259]}	tensor(-0.8253)
{'layer0_row253': [0, 253]}	tensor(-0.8216)
{'layer0_row217': [0, 217]}	tensor(-0.8188)
{'layer0_row244': [0, 244]}	tensor(-0.8157)
{'layer0_row34': [0, 34]}	tensor(-0.8131)
{'layer0_row55': [0, 55]}	tensor(-0.8095)
{'layer0_row280': [0, 280]}	tensor(-0.8070)
{'layer0_row243': [0, 243]}	tensor(-0.8044)
{'layer0_row209': [0, 209]}	tensor(-0.8007)
{'layer1_row54': [1, 54]}	tensor(-0.7979)
{'layer1_row86': [1, 86]}	tensor(-0.7960)
{'layer1_row80': [1, 80]}	tensor(-0.7964)
{'layer0_row289': [0, 289]}	tensor(-0.7951)
{'layer0_row230': [0, 230]}	tensor(-0.7928)
{'layer1_row31': [1, 31]}	tensor(-0.7886)
{'layer0_row240': [0, 240]}	tensor(-0.7884)
{'layer0_row29': [0, 29]}	tensor(-0.7852)
{'layer1_row22': [1, 22]}	tensor(-0.7823)
{'layer0_row59': [0, 59]}	tensor(-0.7809)
{'layer0_row175': [0, 175]}	tensor(-0.7781)
{'layer0_row97': [0, 97]}	tensor(-0.7753)
{'layer1_row51': [1, 51]}	tensor(-0.7718)
{'layer0_row143': [0, 143]}	tensor(-0.7719)
{'layer0_row66': [0, 66]}	tensor(-0.7687)
{'layer0_row45': [0, 45]}	tensor(-0.7657)
{'layer0_row227': [0, 227]}	tensor(-0.7633)
{'layer0_row144': [0, 144]}	tensor(-0.7598)
{'layer0_row213': [0, 213]}	tensor(-0.7570)
{'layer1_row74': [1, 74]}	tensor(-0.7539)
{'layer1_row35': [1, 35]}	tensor(-0.7531)
{'layer0_row88': [0, 88]}	tensor(-0.7524)
{'layer0_row75': [0, 75]}	tensor(-0.7492)
{'layer0_row26': [0, 26]}	tensor(-0.7463)
{'layer0_row180': [0, 180]}	tensor(-0.7432)
{'layer0_row72': [0, 72]}	tensor(-0.7401)
{'layer0_row31': [0, 31]}	tensor(-0.7377)
{'layer1_row85': [1, 85]}	tensor(-0.7347)
{'layer1_row26': [1, 26]}	tensor(-0.7338)
{'layer0_row130': [0, 130]}	tensor(-0.7331)
{'layer0_row127': [0, 127]}	tensor(-0.7298)
{'layer0_row123': [0, 123]}	tensor(-0.7271)
{'layer0_row248': [0, 248]}	tensor(-0.7245)
{'layer1_row33': [1, 33]}	tensor(-0.7214)
{'layer0_row10': [0, 10]}	tensor(-0.7204)
{'layer1_row45': [1, 45]}	tensor(-0.7172)
{'layer0_row65': [0, 65]}	tensor(-0.7161)
{'layer1_row49': [1, 49]}	tensor(-0.7136)
{'layer0_row284': [0, 284]}	tensor(-0.7123)
{'layer0_row64': [0, 64]}	tensor(-0.7096)
{'layer0_row162': [0, 162]}	tensor(-0.7066)
{'layer0_row85': [0, 85]}	tensor(-0.7041)
