Action	Reward
{'layer0_row249': [0, 249]}	tensor(-0.9045)
{'layer0_row94': [0, 94]}	tensor(-0.9017)
{'layer0_row158': [0, 158]}	tensor(-0.8984)
{'layer1_row53': [1, 53]}	tensor(-0.8955)
{'layer0_row164': [0, 164]}	tensor(-0.8945)
{'layer0_row246': [0, 246]}	tensor(-0.8912)
{'layer1_row33': [1, 33]}	tensor(-0.8892)
{'layer0_row228': [0, 228]}	tensor(-0.8874)
{'layer0_row190': [0, 190]}	tensor(-0.8842)
{'layer0_row122': [0, 122]}	tensor(-0.8818)
{'layer0_row257': [0, 257]}	tensor(-0.8781)
{'layer0_row292': [0, 292]}	tensor(-0.8760)
{'layer1_row22': [1, 22]}	tensor(-0.8724)
{'layer0_row192': [0, 192]}	tensor(-0.8723)
{'layer1_row5': [1, 5]}	tensor(-0.8678)
{'layer0_row38': [0, 38]}	tensor(-0.8667)
{'layer0_row67': [0, 67]}	tensor(-0.8651)
{'layer1_row38': [1, 38]}	tensor(-0.8605)
{'layer1_row47': [1, 47]}	tensor(-0.8602)
{'layer1_row64': [1, 64]}	tensor(-0.8596)
{'layer0_row43': [0, 43]}	tensor(-0.8586)
{'layer0_row217': [0, 217]}	tensor(-0.8551)
{'layer0_row99': [0, 99]}	tensor(-0.8523)
{'layer0_row53': [0, 53]}	tensor(-0.8493)
{'layer0_row271': [0, 271]}	tensor(-0.8466)
{'layer0_row169': [0, 169]}	tensor(-0.8429)
{'layer0_row251': [0, 251]}	tensor(-0.8412)
{'layer0_row77': [0, 77]}	tensor(-0.8375)
{'layer0_row9': [0, 9]}	tensor(-0.8345)
{'layer0_row68': [0, 68]}	tensor(-0.8318)
{'layer0_row198': [0, 198]}	tensor(-0.8283)
{'layer0_row2': [0, 2]}	tensor(-0.8256)
{'layer1_row67': [1, 67]}	tensor(-0.8224)
{'layer1_row72': [1, 72]}	tensor(-0.8217)
{'layer0_row259': [0, 259]}	tensor(-0.8203)
{'layer0_row253': [0, 253]}	tensor(-0.8179)
{'layer0_row244': [0, 244]}	tensor(-0.8148)
{'layer0_row209': [0, 209]}	tensor(-0.8119)
{'layer0_row121': [0, 121]}	tensor(-0.8090)
{'layer0_row55': [0, 55]}	tensor(-0.8062)
{'layer1_row94': [1, 94]}	tensor(-0.8031)
{'layer0_row81': [0, 81]}	tensor(-0.8027)
{'layer0_row34': [0, 34]}	tensor(-0.7996)
{'layer1_row54': [1, 54]}	tensor(-0.7959)
{'layer0_row280': [0, 280]}	tensor(-0.7948)
{'layer0_row59': [0, 59]}	tensor(-0.7923)
{'layer0_row8': [0, 8]}	tensor(-0.7888)
{'layer0_row204': [0, 204]}	tensor(-0.7861)
{'layer0_row243': [0, 243]}	tensor(-0.7837)
{'layer1_row86': [1, 86]}	tensor(-0.7800)
{'layer0_row289': [0, 289]}	tensor(-0.7794)
{'layer0_row230': [0, 230]}	tensor(-0.7766)
{'layer0_row18': [0, 18]}	tensor(-0.7728)
{'layer1_row80': [1, 80]}	tensor(-0.7708)
{'layer1_row76': [1, 76]}	tensor(-0.7693)
{'layer0_row29': [0, 29]}	tensor(-0.7685)
{'layer1_row31': [1, 31]}	tensor(-0.7649)
{'layer0_row240': [0, 240]}	tensor(-0.7645)
{'layer0_row97': [0, 97]}	tensor(-0.7617)
{'layer0_row270': [0, 270]}	tensor(-0.7587)
{'layer0_row143': [0, 143]}	tensor(-0.7564)
{'layer0_row175': [0, 175]}	tensor(-0.7531)
{'layer0_row132': [0, 132]}	tensor(-0.7497)
{'layer0_row242': [0, 242]}	tensor(-0.7464)
{'layer0_row66': [0, 66]}	tensor(-0.7441)
{'layer1_row51': [1, 51]}	tensor(-0.7414)
{'layer0_row45': [0, 45]}	tensor(-0.7407)
{'layer0_row227': [0, 227]}	tensor(-0.7371)
{'layer0_row144': [0, 144]}	tensor(-0.7346)
{'layer0_row213': [0, 213]}	tensor(-0.7316)
{'layer0_row75': [0, 75]}	tensor(-0.7286)
{'layer1_row74': [1, 74]}	tensor(-0.7250)
{'layer1_row35': [1, 35]}	tensor(-0.7246)
{'layer0_row88': [0, 88]}	tensor(-0.7237)
{'layer1_row85': [1, 85]}	tensor(-0.7200)
{'layer0_row116': [0, 116]}	tensor(-0.7196)
{'layer0_row26': [0, 26]}	tensor(-0.7164)
{'layer0_row183': [0, 183]}	tensor(-0.7142)
{'layer0_row72': [0, 72]}	tensor(-0.7109)
{'layer0_row180': [0, 180]}	tensor(-0.7085)
{'layer0_row31': [0, 31]}	tensor(-0.7054)
{'layer1_row26': [1, 26]}	tensor(-0.7023)
{'layer0_row130': [0, 130]}	tensor(-0.7010)
{'layer0_row127': [0, 127]}	tensor(-0.6988)
{'layer0_row123': [0, 123]}	tensor(-0.6962)
{'layer0_row248': [0, 248]}	tensor(-0.6926)
{'layer0_row10': [0, 10]}	tensor(-0.6899)
{'layer0_row65': [0, 65]}	tensor(-0.6867)
