Action	Reward
{'layer0_row228': [0, 228]}	tensor(-0.9025)
{'layer0_row246': [0, 246]}	tensor(-0.9001)
{'layer0_row257': [0, 257]}	tensor(-0.8968)
{'layer0_row190': [0, 190]}	tensor(-0.8942)
{'layer0_row292': [0, 292]}	tensor(-0.8913)
{'layer0_row94': [0, 94]}	tensor(-0.8880)
{'layer0_row164': [0, 164]}	tensor(-0.8853)
{'layer0_row122': [0, 122]}	tensor(-0.8822)
{'layer0_row249': [0, 249]}	tensor(-0.8786)
{'layer0_row158': [0, 158]}	tensor(-0.8764)
{'layer1_row5': [1, 5]}	tensor(-0.8729)
{'layer0_row38': [0, 38]}	tensor(-0.8715)
{'layer1_row38': [1, 38]}	tensor(-0.8698)
{'layer0_row192': [0, 192]}	tensor(-0.8690)
{'layer1_row64': [1, 64]}	tensor(-0.8649)
{'layer0_row43': [0, 43]}	tensor(-0.8639)
{'layer0_row217': [0, 217]}	tensor(-0.8610)
{'layer1_row47': [1, 47]}	tensor(-0.8572)
{'layer0_row169': [0, 169]}	tensor(-0.8570)
{'layer0_row53': [0, 53]}	tensor(-0.8542)
{'layer0_row271': [0, 271]}	tensor(-0.8504)
{'layer0_row99': [0, 99]}	tensor(-0.8489)
{'layer0_row77': [0, 77]}	tensor(-0.8456)
{'layer0_row251': [0, 251]}	tensor(-0.8416)
{'layer0_row9': [0, 9]}	tensor(-0.8399)
{'layer0_row68': [0, 68]}	tensor(-0.8363)
{'layer0_row198': [0, 198]}	tensor(-0.8323)
{'layer0_row2': [0, 2]}	tensor(-0.8305)
{'layer1_row67': [1, 67]}	tensor(-0.8279)
{'layer1_row72': [1, 72]}	tensor(-0.8272)
{'layer0_row259': [0, 259]}	tensor(-0.8255)
{'layer0_row253': [0, 253]}	tensor(-0.8222)
{'layer0_row244': [0, 244]}	tensor(-0.8193)
{'layer0_row209': [0, 209]}	tensor(-0.8166)
{'layer0_row55': [0, 55]}	tensor(-0.8134)
{'layer0_row34': [0, 34]}	tensor(-0.8109)
{'layer1_row54': [1, 54]}	tensor(-0.8068)
{'layer0_row280': [0, 280]}	tensor(-0.8061)
{'layer0_row243': [0, 243]}	tensor(-0.8037)
{'layer1_row86': [1, 86]}	tensor(-0.8008)
{'layer0_row59': [0, 59]}	tensor(-0.7993)
{'layer0_row230': [0, 230]}	tensor(-0.7964)
{'layer0_row289': [0, 289]}	tensor(-0.7931)
{'layer1_row80': [1, 80]}	tensor(-0.7905)
{'layer1_row31': [1, 31]}	tensor(-0.7889)
{'layer0_row29': [0, 29]}	tensor(-0.7884)
{'layer0_row240': [0, 240]}	tensor(-0.7859)
{'layer1_row22': [1, 22]}	tensor(-0.7830)
{'layer0_row143': [0, 143]}	tensor(-0.7820)
{'layer0_row97': [0, 97]}	tensor(-0.7789)
{'layer0_row175': [0, 175]}	tensor(-0.7762)
{'layer0_row66': [0, 66]}	tensor(-0.7737)
{'layer1_row51': [1, 51]}	tensor(-0.7698)
{'layer0_row227': [0, 227]}	tensor(-0.7689)
{'layer0_row144': [0, 144]}	tensor(-0.7660)
{'layer0_row213': [0, 213]}	tensor(-0.7644)
{'layer0_row45': [0, 45]}	tensor(-0.7605)
{'layer0_row75': [0, 75]}	tensor(-0.7578)
{'layer1_row74': [1, 74]}	tensor(-0.7549)
{'layer1_row35': [1, 35]}	tensor(-0.7535)
{'layer0_row26': [0, 26]}	tensor(-0.7525)
