Action	Reward
{'layer0_row51': [0, 51]}	tensor(-0.9035)
{'layer0_row221': [0, 221]}	tensor(-0.9010)
{'layer0_row212': [0, 212]}	tensor(-0.8974)
{'layer0_row4': [0, 4]}	tensor(-0.8947)
{'layer0_row258': [0, 258]}	tensor(-0.8911)
{'layer1_row93': [1, 93]}	tensor(-0.8889)
{'layer1_row76': [1, 76]}	tensor(-0.8869)
{'layer0_row238': [0, 238]}	tensor(-0.8854)
{'layer1_row84': [1, 84]}	tensor(-0.8834)
{'layer0_row174': [0, 174]}	tensor(-0.8818)
{'layer0_row49': [0, 49]}	tensor(-0.8787)
{'layer0_row171': [0, 171]}	tensor(-0.8762)
{'layer0_row246': [0, 246]}	tensor(-0.8730)
{'layer0_row194': [0, 194]}	tensor(-0.8704)
{'layer0_row249': [0, 249]}	tensor(-0.8675)
{'layer0_row185': [0, 185]}	tensor(-0.8645)
{'layer0_row42': [0, 42]}	tensor(-0.8611)
{'layer0_row138': [0, 138]}	tensor(-0.8593)
{'layer1_row90': [1, 90]}	tensor(-0.8558)
{'layer0_row94': [0, 94]}	tensor(-0.8541)
{'layer0_row81': [0, 81]}	tensor(-0.8515)
{'layer0_row29': [0, 29]}	tensor(-0.8477)
{'layer0_row295': [0, 295]}	tensor(-0.8458)
{'layer0_row230': [0, 230]}	tensor(-0.8419)
{'layer0_row136': [0, 136]}	tensor(-0.8395)
{'layer0_row11': [0, 11]}	tensor(-0.8362)
{'layer0_row137': [0, 137]}	tensor(-0.8322)
{'layer0_row57': [0, 57]}	tensor(-0.8310)
{'layer0_row144': [0, 144]}	tensor(-0.8277)
{'layer0_row158': [0, 158]}	tensor(-0.8245)
{'layer0_row164': [0, 164]}	tensor(-0.8205)
{'layer0_row161': [0, 161]}	tensor(-0.8186)
{'layer1_row39': [1, 39]}	tensor(-0.8165)
{'layer0_row100': [0, 100]}	tensor(-0.8146)
{'layer0_row228': [0, 228]}	tensor(-0.8111)
{'layer0_row190': [0, 190]}	tensor(-0.8091)
{'layer1_row83': [1, 83]}	tensor(-0.8056)
{'layer0_row122': [0, 122]}	tensor(-0.8045)
{'layer0_row76': [0, 76]}	tensor(-0.8012)
{'layer0_row28': [0, 28]}	tensor(-0.7982)
{'layer1_row71': [1, 71]}	tensor(-0.7960)
{'layer0_row132': [0, 132]}	tensor(-0.7942)
{'layer0_row257': [0, 257]}	tensor(-0.7921)
{'layer0_row292': [0, 292]}	tensor(-0.7887)
{'layer0_row172': [0, 172]}	tensor(-0.7858)
{'layer0_row133': [0, 133]}	tensor(-0.7828)
{'layer0_row62': [0, 62]}	tensor(-0.7795)
{'layer0_row97': [0, 97]}	tensor(-0.7768)
{'layer1_row16': [1, 16]}	tensor(-0.7739)
{'layer0_row192': [0, 192]}	tensor(-0.7730)
{'layer1_row5': [1, 5]}	tensor(-0.7699)
{'layer0_row38': [0, 38]}	tensor(-0.7700)
{'layer1_row38': [1, 38]}	tensor(-0.7664)
{'layer1_row47': [1, 47]}	tensor(-0.7652)
{'layer1_row54': [1, 54]}	tensor(-0.7646)
{'layer0_row16': [0, 16]}	tensor(-0.7634)
{'layer0_row32': [0, 32]}	tensor(-0.7601)
{'layer1_row64': [1, 64]}	tensor(-0.7575)
{'layer0_row288': [0, 288]}	tensor(-0.7565)
{'layer0_row180': [0, 180]}	tensor(-0.7538)
{'layer1_row61': [1, 61]}	tensor(-0.7507)
{'layer0_row130': [0, 130]}	tensor(-0.7497)
{'layer0_row250': [0, 250]}	tensor(-0.7470)
{'layer0_row43': [0, 43]}	tensor(-0.7439)
{'layer0_row182': [0, 182]}	tensor(-0.7405)
{'layer0_row217': [0, 217]}	tensor(-0.7377)
{'layer0_row134': [0, 134]}	tensor(-0.7352)
{'layer0_row218': [0, 218]}	tensor(-0.7328)
{'layer1_row72': [1, 72]}	tensor(-0.7288)
{'layer0_row99': [0, 99]}	tensor(-0.7285)
{'layer1_row7': [1, 7]}	tensor(-0.7255)
{'layer0_row53': [0, 53]}	tensor(-0.7247)
{'layer0_row271': [0, 271]}	tensor(-0.7220)
{'layer0_row169': [0, 169]}	tensor(-0.7186)
{'layer0_row251': [0, 251]}	tensor(-0.7150)
{'layer0_row77': [0, 77]}	tensor(-0.7129)
{'layer0_row231': [0, 231]}	tensor(-0.7101)
{'layer1_row98': [1, 98]}	tensor(-0.7066)
{'layer0_row9': [0, 9]}	tensor(-0.7057)
{'layer0_row68': [0, 68]}	tensor(-0.7033)
{'layer1_row12': [1, 12]}	tensor(-0.6999)
{'layer0_row293': [0, 293]}	tensor(-0.6992)
{'layer0_row124': [0, 124]}	tensor(-0.6969)
{'layer0_row120': [0, 120]}	tensor(-0.6930)
{'layer0_row82': [0, 82]}	tensor(-0.6911)
{'layer0_row58': [0, 58]}	tensor(-0.6872)
{'layer0_row290': [0, 290]}	tensor(-0.6847)
{'layer0_row286': [0, 286]}	tensor(-0.6814)
{'layer0_row224': [0, 224]}	tensor(-0.6781)
{'layer0_row70': [0, 70]}	tensor(-0.6756)
{'layer0_row127': [0, 127]}	tensor(-0.6729)
{'layer0_row234': [0, 234]}	tensor(-0.6699)
{'layer0_row26': [0, 26]}	tensor(-0.6668)
{'layer0_row12': [0, 12]}	tensor(-0.6641)
{'layer0_row47': [0, 47]}	tensor(-0.6617)
{'layer1_row97': [1, 97]}	tensor(-0.6588)
{'layer0_row198': [0, 198]}	tensor(-0.6571)
{'layer0_row2': [0, 2]}	tensor(-0.6540)
{'layer0_row3': [0, 3]}	tensor(-0.6513)
{'layer1_row67': [1, 67]}	tensor(-0.6481)
{'layer0_row294': [0, 294]}	tensor(-0.6479)
{'layer0_row35': [0, 35]}	tensor(-0.6447)
{'layer0_row204': [0, 204]}	tensor(-0.6417)
{'layer0_row239': [0, 239]}	tensor(-0.6391)
{'layer0_row259': [0, 259]}	tensor(-0.6365)
{'layer0_row102': [0, 102]}	tensor(-0.6336)
{'layer0_row253': [0, 253]}	tensor(-0.6296)
{'layer0_row244': [0, 244]}	tensor(-0.6269)
{'layer0_row209': [0, 209]}	tensor(-0.6241)
{'layer0_row55': [0, 55]}	tensor(-0.6214)
{'layer0_row34': [0, 34]}	tensor(-0.6184)
{'layer0_row280': [0, 280]}	tensor(-0.6155)
{'layer0_row59': [0, 59]}	tensor(-0.6122)
{'layer0_row243': [0, 243]}	tensor(-0.6098)
{'layer1_row86': [1, 86]}	tensor(-0.6066)
{'layer0_row289': [0, 289]}	tensor(-0.6059)
{'layer1_row80': [1, 80]}	tensor(-0.6029)
{'layer1_row31': [1, 31]}	tensor(-0.6025)
{'layer0_row240': [0, 240]}	tensor(-0.6018)
{'layer1_row22': [1, 22]}	tensor(-0.5989)
{'layer0_row233': [0, 233]}	tensor(-0.5973)
{'layer0_row143': [0, 143]}	tensor(-0.5945)
{'layer0_row30': [0, 30]}	tensor(-0.5919)
{'layer0_row126': [0, 126]}	tensor(-0.5895)
{'layer0_row175': [0, 175]}	tensor(-0.5863)
{'layer0_row66': [0, 66]}	tensor(-0.5832)
{'layer1_row51': [1, 51]}	tensor(-0.5807)
{'layer0_row45': [0, 45]}	tensor(-0.5798)
{'layer0_row227': [0, 227]}	tensor(-0.5771)
{'layer0_row213': [0, 213]}	tensor(-0.5741)
{'layer0_row75': [0, 75]}	tensor(-0.5707)
{'layer1_row74': [1, 74]}	tensor(-0.5678)
{'layer1_row35': [1, 35]}	tensor(-0.5677)
{'layer0_row88': [0, 88]}	tensor(-0.5667)
{'layer1_row85': [1, 85]}	tensor(-0.5635)
{'layer0_row72': [0, 72]}	tensor(-0.5627)
{'layer0_row31': [0, 31]}	tensor(-0.5602)
{'layer1_row26': [1, 26]}	tensor(-0.5572)
{'layer0_row123': [0, 123]}	tensor(-0.5562)
{'layer0_row248': [0, 248]}	tensor(-0.5539)
{'layer1_row33': [1, 33]}	tensor(-0.5508)
{'layer0_row98': [0, 98]}	tensor(-0.5498)
{'layer0_row10': [0, 10]}	tensor(-0.5473)
{'layer0_row65': [0, 65]}	tensor(-0.5441)
{'layer1_row45': [1, 45]}	tensor(-0.5414)
{'layer1_row91': [1, 91]}	tensor(-0.5407)
{'layer0_row107': [0, 107]}	tensor(-0.5399)
{'layer1_row49': [1, 49]}	tensor(-0.5372)
{'layer1_row4': [1, 4]}	tensor(-0.5366)
{'layer0_row214': [0, 214]}	tensor(-0.5361)
{'layer0_row284': [0, 284]}	tensor(-0.5330)
{'layer0_row270': [0, 270]}	tensor(-0.5298)
{'layer0_row139': [0, 139]}	tensor(-0.5274)
{'layer0_row247': [0, 247]}	tensor(-0.5245)
{'layer0_row176': [0, 176]}	tensor(-0.5216)
{'layer0_row64': [0, 64]}	tensor(-0.5182)
{'layer0_row162': [0, 162]}	tensor(-0.5158)
{'layer0_row24': [0, 24]}	tensor(-0.5129)
{'layer0_row85': [0, 85]}	tensor(-0.5101)
{'layer0_row154': [0, 154]}	tensor(-0.5074)
{'layer1_row30': [1, 30]}	tensor(-0.5038)
{'layer0_row225': [0, 225]}	tensor(-0.5037)
{'layer0_row220': [0, 220]}	tensor(-0.5005)
{'layer0_row74': [0, 74]}	tensor(-0.4977)
{'layer0_row106': [0, 106]}	tensor(-0.4949)
