Action	Reward
{'layer0_row19': [0, 19]}	tensor(-0.9067)
{'layer0_row221': [0, 221]}	tensor(-0.9027)
{'layer0_row224': [0, 224]}	tensor(-0.9003)
{'layer1_row14': [1, 14]}	tensor(-0.8973)
{'layer0_row223': [0, 223]}	tensor(-0.8957)
{'layer0_row189': [0, 189]}	tensor(-0.8931)
{'layer1_row76': [1, 76]}	tensor(-0.8900)
{'layer0_row238': [0, 238]}	tensor(-0.8895)
{'layer1_row57': [1, 57]}	tensor(-0.8857)
{'layer1_row84': [1, 84]}	tensor(-0.8848)
{'layer0_row134': [0, 134]}	tensor(-0.8832)
{'layer0_row112': [0, 112]}	tensor(-0.8809)
{'layer1_row49': [1, 49]}	tensor(-0.8779)
{'layer0_row249': [0, 249]}	tensor(-0.8775)
{'layer0_row94': [0, 94]}	tensor(-0.8743)
{'layer0_row132': [0, 132]}	tensor(-0.8712)
{'layer0_row158': [0, 158]}	tensor(-0.8675)
{'layer0_row108': [0, 108]}	tensor(-0.8641)
{'layer0_row187': [0, 187]}	tensor(-0.8622)
{'layer1_row2': [1, 2]}	tensor(-0.8593)
{'layer0_row164': [0, 164]}	tensor(-0.8580)
{'layer0_row168': [0, 168]}	tensor(-0.8558)
{'layer0_row254': [0, 254]}	tensor(-0.8516)
{'layer0_row262': [0, 262]}	tensor(-0.8488)
{'layer0_row180': [0, 180]}	tensor(-0.8463)
{'layer0_row100': [0, 100]}	tensor(-0.8434)
{'layer1_row70': [1, 70]}	tensor(-0.8402)
{'layer1_row18': [1, 18]}	tensor(-0.8388)
{'layer0_row246': [0, 246]}	tensor(-0.8384)
{'layer0_row228': [0, 228]}	tensor(-0.8344)
{'layer1_row63': [1, 63]}	tensor(-0.8326)
{'layer0_row190': [0, 190]}	tensor(-0.8312)
{'layer0_row102': [0, 102]}	tensor(-0.8279)
{'layer0_row109': [0, 109]}	tensor(-0.8252)
{'layer0_row145': [0, 145]}	tensor(-0.8219)
{'layer0_row36': [0, 36]}	tensor(-0.8196)
{'layer1_row98': [1, 98]}	tensor(-0.8159)
{'layer0_row121': [0, 121]}	tensor(-0.8165)
{'layer0_row295': [0, 295]}	tensor(-0.8126)
{'layer0_row12': [0, 12]}	tensor(-0.8097)
{'layer1_row42': [1, 42]}	tensor(-0.8063)
{'layer0_row50': [0, 50]}	tensor(-0.8054)
{'layer1_row50': [1, 50]}	tensor(-0.8028)
{'layer0_row122': [0, 122]}	tensor(-0.8008)
{'layer0_row257': [0, 257]}	tensor(-0.7985)
{'layer0_row253': [0, 253]}	tensor(-0.7960)
{'layer0_row106': [0, 106]}	tensor(-0.7924)
{'layer1_row46': [1, 46]}	tensor(-0.7892)
{'layer0_row78': [0, 78]}	tensor(-0.7892)
{'layer0_row279': [0, 279]}	tensor(-0.7857)
{'layer0_row266': [0, 266]}	tensor(-0.7824)
