Action	Reward
{'layer0_row94': [0, 94]}	-100
{'layer0_row2': [0, 2]}	tensor(0.1112)
{'layer0_row224': [0, 224]}	tensor(0.1101)
{'layer0_row77': [0, 77]}	tensor(0.1108)
{'layer0_row57': [0, 57]}	tensor(0.1104)
{'layer1_row52': [1, 52]}	tensor(0.1111)
{'layer1_row14': [1, 14]}	tensor(0.1102)
{'layer1_row70': [1, 70]}	tensor(0.1107)
{'layer0_row39': [0, 39]}	tensor(0.1101)
{'layer1_row84': [1, 84]}	tensor(0.1103)
{'layer0_row275': [0, 275]}	tensor(0.1096)
{'layer0_row269': [0, 269]}	tensor(0.1104)
{'layer0_row162': [0, 162]}	tensor(0.1106)
{'layer0_row251': [0, 251]}	tensor(0.1100)
{'layer0_row169': [0, 169]}	tensor(0.1112)
{'layer0_row283': [0, 283]}	tensor(0.1108)
{'layer0_row191': [0, 191]}	tensor(0.1104)
{'layer0_row76': [0, 76]}	tensor(0.1107)
{'layer0_row110': [0, 110]}	tensor(0.1107)
{'layer1_row45': [1, 45]}	tensor(0.1107)
{'layer0_row213': [0, 213]}	tensor(0.1108)
{'layer1_row18': [1, 18]}	tensor(0.1107)
{'layer1_row38': [1, 38]}	tensor(0.1102)
{'layer0_row35': [0, 35]}	tensor(0.1099)
{'layer0_row216': [0, 216]}	tensor(0.1103)
{'layer0_row249': [0, 249]}	tensor(0.1113)
{'layer0_row138': [0, 138]}	tensor(0.1106)
{'layer0_row293': [0, 293]}	tensor(0.1110)
{'layer0_row178': [0, 178]}	tensor(0.1095)
{'layer0_row286': [0, 286]}	tensor(0.1101)
{'layer0_row118': [0, 118]}	tensor(0.1118)
{'layer1_row1': [1, 1]}	tensor(0.1100)
{'layer0_row115': [0, 115]}	tensor(0.1107)
{'layer0_row230': [0, 230]}	tensor(0.1099)
{'layer0_row200': [0, 200]}	tensor(0.1102)
{'layer1_row75': [1, 75]}	tensor(0.1104)
{'layer0_row158': [0, 158]}	tensor(0.1101)
{'layer0_row164': [0, 164]}	tensor(0.1105)
{'layer1_row47': [1, 47]}	tensor(0.1109)
{'layer1_row72': [1, 72]}	tensor(0.1108)
{'layer0_row246': [0, 246]}	tensor(0.1115)
{'layer0_row228': [0, 228]}	tensor(0.1101)
{'layer0_row190': [0, 190]}	tensor(0.1096)
{'layer0_row122': [0, 122]}	tensor(0.1105)
{'layer0_row180': [0, 180]}	tensor(0.1113)
{'layer0_row257': [0, 257]}	tensor(0.1106)
{'layer0_row273': [0, 273]}	tensor(0.1113)
{'layer0_row236': [0, 236]}	tensor(0.1106)
{'layer1_row40': [1, 40]}	tensor(0.1111)
{'layer0_row296': [0, 296]}	tensor(0.1103)
{'layer0_row130': [0, 130]}	tensor(0.1111)
{'layer1_row44': [1, 44]}	tensor(0.1111)
{'layer0_row40': [0, 40]}	tensor(0.1100)
{'layer1_row31': [1, 31]}	tensor(0.1102)
{'layer0_row155': [0, 155]}	tensor(0.1105)
{'layer0_row148': [0, 148]}	tensor(0.1100)
{'layer0_row220': [0, 220]}	tensor(0.1101)
{'layer0_row292': [0, 292]}	tensor(0.1109)
{'layer1_row77': [1, 77]}	tensor(0.1099)
{'layer1_row7': [1, 7]}	tensor(0.1102)
{'layer1_row20': [1, 20]}	tensor(0.1103)
{'layer0_row192': [0, 192]}	tensor(0.1114)
{'layer1_row5': [1, 5]}	tensor(0.1108)
{'layer0_row165': [0, 165]}	tensor(0.1105)
{'layer1_row28': [1, 28]}	tensor(0.1104)
{'layer1_row0': [1, 0]}	tensor(0.1109)
{'layer0_row38': [0, 38]}	tensor(0.1106)
{'layer1_row64': [1, 64]}	tensor(0.1103)
{'layer0_row43': [0, 43]}	tensor(0.1109)
{'layer0_row217': [0, 217]}	tensor(0.1106)
{'layer1_row15': [1, 15]}	tensor(0.1105)
{'layer0_row99': [0, 99]}	tensor(0.1105)
{'layer0_row53': [0, 53]}	tensor(0.1111)
{'layer0_row123': [0, 123]}	tensor(0.1111)
{'layer0_row238': [0, 238]}	tensor(0.1111)
{'layer1_row92': [1, 92]}	tensor(0.1107)
{'layer0_row271': [0, 271]}	tensor(0.1104)
{'layer0_row9': [0, 9]}	tensor(0.1108)
{'layer0_row68': [0, 68]}	tensor(0.1111)
{'layer0_row198': [0, 198]}	tensor(0.1103)
{'layer0_row261': [0, 261]}	tensor(0.1099)
{'layer0_row195': [0, 195]}	tensor(0.1109)
{'layer0_row141': [0, 141]}	tensor(0.1105)
{'layer1_row59': [1, 59]}	tensor(0.1107)
{'layer1_row67': [1, 67]}	tensor(0.1107)
{'layer0_row259': [0, 259]}	tensor(0.1114)
{'layer0_row106': [0, 106]}	tensor(0.1109)
{'layer0_row253': [0, 253]}	tensor(0.1104)
{'layer0_row244': [0, 244]}	tensor(0.1106)
{'layer0_row83': [0, 83]}	tensor(0.1108)
{'layer1_row55': [1, 55]}	tensor(0.1108)
{'layer0_row209': [0, 209]}	tensor(0.1108)
{'layer1_row94': [1, 94]}	tensor(0.1101)
{'layer0_row55': [0, 55]}	tensor(0.1103)
{'layer0_row34': [0, 34]}	tensor(0.1098)
{'layer0_row26': [0, 26]}	tensor(0.1103)
{'layer0_row176': [0, 176]}	tensor(0.1101)
{'layer0_row89': [0, 89]}	tensor(0.1109)
{'layer0_row85': [0, 85]}	tensor(0.1106)
{'layer0_row276': [0, 276]}	tensor(0.1101)
{'layer1_row82': [1, 82]}	tensor(0.1100)
{'layer1_row54': [1, 54]}	tensor(0.1108)
{'layer1_row53': [1, 53]}	tensor(0.1101)
{'layer0_row280': [0, 280]}	tensor(0.1102)
{'layer0_row59': [0, 59]}	tensor(0.1113)
{'layer0_row243': [0, 243]}	tensor(0.1097)
{'layer1_row86': [1, 86]}	tensor(0.1104)
{'layer0_row289': [0, 289]}	tensor(0.1110)
{'layer1_row80': [1, 80]}	tensor(0.1108)
{'layer0_row29': [0, 29]}	tensor(0.1103)
{'layer0_row240': [0, 240]}	tensor(0.1107)
{'layer0_row97': [0, 97]}	tensor(0.1103)
{'layer0_row56': [0, 56]}	tensor(0.1118)
{'layer1_row74': [1, 74]}	tensor(0.1107)
{'layer0_row120': [0, 120]}	tensor(0.1106)
{'layer0_row285': [0, 285]}	tensor(0.1098)
{'layer0_row237': [0, 237]}	tensor(0.1098)
{'layer1_row62': [1, 62]}	tensor(0.1100)
{'layer1_row96': [1, 96]}	tensor(0.1105)
{'layer1_row22': [1, 22]}	tensor(0.1110)
{'layer0_row143': [0, 143]}	tensor(0.1117)
{'layer0_row88': [0, 88]}	tensor(0.1107)
{'layer0_row36': [0, 36]}	tensor(0.1107)
{'layer0_row175': [0, 175]}	tensor(0.1106)
{'layer0_row147': [0, 147]}	tensor(0.1103)
{'layer0_row86': [0, 86]}	tensor(0.1103)
{'layer0_row284': [0, 284]}	tensor(0.1109)
{'layer0_row48': [0, 48]}	tensor(0.1111)
{'layer0_row274': [0, 274]}	tensor(0.1102)
{'layer0_row140': [0, 140]}	tensor(0.1108)
{'layer0_row109': [0, 109]}	tensor(0.1112)
{'layer0_row80': [0, 80]}	tensor(0.1108)
{'layer0_row45': [0, 45]}	tensor(0.1105)
{'layer0_row66': [0, 66]}	tensor(0.1111)
{'layer1_row51': [1, 51]}	tensor(0.1107)
