Action	Reward
{'layer0_row249': [0, 249]}	tensor(-0.9034)
{'layer0_row94': [0, 94]}	tensor(-0.9053)
{'layer0_row158': [0, 158]}	tensor(-0.9090)
{'layer1_row53': [1, 53]}	tensor(-0.9125)
{'layer0_row164': [0, 164]}	tensor(-0.9132)
{'layer0_row246': [0, 246]}	tensor(-0.9168)
{'layer1_row33': [1, 33]}	tensor(-0.9193)
{'layer0_row228': [0, 228]}	tensor(-0.9202)
{'layer0_row190': [0, 190]}	tensor(-0.9246)
{'layer0_row122': [0, 122]}	tensor(-0.9264)
{'layer0_row257': [0, 257]}	tensor(-0.9293)
{'layer0_row292': [0, 292]}	tensor(-0.9336)
{'layer1_row22': [1, 22]}	tensor(-0.9367)
{'layer0_row192': [0, 192]}	tensor(-0.9373)
{'layer1_row5': [1, 5]}	tensor(-0.9408)
{'layer0_row38': [0, 38]}	tensor(-0.9419)
{'layer0_row67': [0, 67]}	tensor(-0.9447)
{'layer1_row38': [1, 38]}	tensor(-0.9487)
{'layer1_row47': [1, 47]}	tensor(-0.9493)
{'layer1_row64': [1, 64]}	tensor(-0.9506)
{'layer0_row43': [0, 43]}	tensor(-0.9523)
{'layer0_row217': [0, 217]}	tensor(-0.9551)
{'layer0_row99': [0, 99]}	tensor(-0.9582)
{'layer0_row53': [0, 53]}	tensor(-0.9627)
{'layer0_row271': [0, 271]}	tensor(-0.9658)
{'layer0_row169': [0, 169]}	tensor(-0.9683)
{'layer0_row251': [0, 251]}	tensor(-0.9716)
{'layer0_row77': [0, 77]}	tensor(-0.9757)
{'layer0_row9': [0, 9]}	tensor(-0.9789)
{'layer0_row68': [0, 68]}	tensor(-0.9821)
{'layer0_row198': [0, 198]}	tensor(-0.9853)
{'layer0_row2': [0, 2]}	tensor(-0.9890)
{'layer1_row67': [1, 67]}	tensor(-0.9934)
{'layer1_row72': [1, 72]}	tensor(-0.9948)
{'layer0_row259': [0, 259]}	tensor(-0.9959)
{'layer0_row253': [0, 253]}	tensor(-0.9997)
{'layer0_row244': [0, 244]}	tensor(-1.0012)
{'layer0_row209': [0, 209]}	tensor(-1.0066)
{'layer0_row121': [0, 121]}	tensor(-1.0101)
{'layer0_row55': [0, 55]}	tensor(-1.0138)
{'layer1_row94': [1, 94]}	tensor(-1.0178)
{'layer0_row81': [0, 81]}	tensor(-1.0188)
{'layer0_row34': [0, 34]}	tensor(-1.0213)
{'layer1_row54': [1, 54]}	tensor(-1.0268)
{'layer0_row280': [0, 280]}	tensor(-1.0280)
{'layer0_row59': [0, 59]}	tensor(-1.0309)
{'layer0_row8': [0, 8]}	tensor(-1.0350)
{'layer0_row204': [0, 204]}	tensor(-1.0384)
{'layer0_row243': [0, 243]}	tensor(-1.0415)
{'layer1_row86': [1, 86]}	tensor(-1.0474)
{'layer0_row289': [0, 289]}	tensor(-1.0480)
{'layer0_row230': [0, 230]}	tensor(-1.0525)
{'layer0_row18': [0, 18]}	tensor(-1.0572)
{'layer1_row80': [1, 80]}	tensor(-1.0599)
{'layer1_row76': [1, 76]}	tensor(-1.0608)
{'layer0_row29': [0, 29]}	tensor(-1.0628)
{'layer1_row31': [1, 31]}	tensor(-1.0671)
{'layer0_row240': [0, 240]}	tensor(-1.0684)
{'layer0_row97': [0, 97]}	tensor(-1.0722)
{'layer0_row270': [0, 270]}	tensor(-1.0761)
{'layer0_row143': [0, 143]}	tensor(-1.0808)
{'layer0_row175': [0, 175]}	tensor(-1.0849)
{'layer0_row132': [0, 132]}	tensor(-1.0878)
